"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.012611,1,0,0.5,0,0
-0.018309,1,0.001,0.5,0.001,0
-0.024008,1,0.002,0.5,0.002,0
-0.029706,1,0.003,0.5,0.003,0
-0.035405,1,0.004,0.5,0.004,0
-0.041103,1,0.005,0.5,0.005,0
-0.046802,1,0.006,0.5,0.006,0
-0.052501,1,0.007,0.5,0.007,0
-0.058199,1,0.008,0.5,0.008,0
-0.063898,1,0.009,0.5,0.009,0
-0.069596,1,0.01,0.5,0.01,0
-0.075295,1,0.011,0.5,0.011,0
-0.080994,1,0.012,0.5,0.012,0
-0.086692,1,0.013,0.5,0.013,0
-0.092391,1,0.014,0.5,0.014,0
-0.098089,1,0.015,0.5,0.015,0
-0.10379,1,0.016,0.5,0.016,0
-0.10949,1,0.017,0.5,0.017,0
-0.11519,1,0.018,0.5,0.018,0
-0.12088,1,0.019,0.5,0.019,0
-0.12658,1,0.02,0.5,0.02,0
-0.13228,1,0.021,0.5,0.021,0
-0.13798,1,0.022,0.5,0.022,0
-0.14368,1,0.023,0.5,0.023,0
-0.14938,1,0.024,0.5,0.024,0
-0.15508,1,0.025,0.5,0.025,0
-0.16077,1,0.026,0.5,0.026,0
-0.16647,1,0.027,0.5,0.027,0
-0.17217,1,0.028,0.5,0.028,0
-0.17787,1,0.029,0.5,0.029,0
-0.18357,1,0.03,0.5,0.03,0
-0.18927,1,0.031,0.5,0.031,0
-0.19479,1,0.032,0.5,0.032,0
-0.20025,1,0.033,0.5,0.033,0
-0.20571,1,0.034,0.5,0.034,0
-0.21117,1,0.035,0.5,0.035,0
-0.21663,1,0.036,0.5,0.036,0
-0.22209,1,0.037,0.5,0.037,0
-0.22755,1,0.038,0.5,0.038,0
-0.23301,1,0.039,0.5,0.039,0
-0.23847,1,0.04,0.5,0.04,0
-0.24393,1,0.041,0.5,0.041,0
-0.24939,1,0.042,0.5,0.042,0
-0.25485,1,0.043,0.5,0.043,0
-0.26031,1,0.044,0.5,0.044,0
-0.26577,1,0.045,0.5,0.045,0
-0.27123,1,0.046,0.5,0.046,0
-0.27669,1,0.047,0.5,0.047,0
-0.28215,1,0.048,0.5,0.048,0
-0.28761,1,0.049,0.5,0.049,0
-0.29307,1,0.05,0.5,0.05,0
-0.29853,1,0.051,0.5,0.051,0
-0.30399,1,0.052,0.5,0.052,0
-0.30945,1,0.053,0.5,0.053,0
-0.31491,1,0.054,0.5,0.054,0
-0.32037,1,0.055,0.5,0.055,0
-0.32583,1,0.056,0.5,0.056,0
-0.33129,1,0.057,0.5,0.057,0
-0.33675,1,0.058,0.5,0.058,0
-0.34221,1,0.059,0.5,0.059,0
