"v_sol","Points:0","Points:1","Points:2"
1.4634e-05,0,0,0
0.00037789,0.03125,0,0
0.00052705,0.0625,0,0
-0.00015195,0.09375,0,0
0.002587,0.125,0,0
-0.005493,0.15625,0,0
-0.0049676,0.1875,0,0
0.011702,0.21875,0,0
0.0044401,0.25,0,0
-0.0035847,0.28125,0,0
-0.0050241,0.3125,0,0
-0.012429,0.34375,0,0
-0.013673,0.375,0,0
-0.0099256,0.40625,0,0
-0.0043967,0.4375,0,0
4.2797e-05,0.46875,0,0
0.0026703,0.5,0,0
0.0041511,0.53125,0,0
0.0048165,0.5625,0,0
0.0055063,0.59375,0,0
0.0060909,0.625,0,0
0.0071691,0.65625,0,0
0.0076402,0.6875,0,0
0.0071708,0.71875,0,0
0.0047465,0.75,0,0
0.00041716,0.78125,0,0
-0.0032313,0.8125,0,0
-0.0034554,0.84375,0,0
-0.0020365,0.875,0,0
-0.001318,0.90625,0,0
-0.00035368,0.9375,0,0
-8.9683e-05,0.96875,0,0
0.0001316,1,0,0
0.00070932,0,0.03125,0
-0.002871,0.03125,0.03125,0
-0.0014543,0.0625,0.03125,0
-0.0036327,0.09375,0.03125,0
-0.0097967,0.125,0.03125,0
0.028557,0.15625,0.03125,0
-0.012522,0.1875,0.03125,0
-0.045116,0.21875,0.03125,0
0.014778,0.25,0.03125,0
0.015166,0.28125,0.03125,0
0.022221,0.3125,0.03125,0
0.040952,0.34375,0.03125,0
0.045264,0.375,0.03125,0
0.04562,0.40625,0.03125,0
0.038451,0.4375,0.03125,0
0.027643,0.46875,0.03125,0
0.012535,0.5,0.03125,0
-0.0050749,0.53125,0.03125,0
-0.024404,0.5625,0.03125,0
-0.044288,0.59375,0.03125,0
-0.059307,0.625,0.03125,0
-0.065918,0.65625,0.03125,0
-0.05103,0.6875,0.03125,0
-0.030028,0.71875,0.03125,0
-0.0017272,0.75,0.03125,0
0.018375,0.78125,0.03125,0
0.014752,0.8125,0.03125,0
0.014929,0.84375,0.03125,0
0.010466,0.875,0.03125,0
0.0054532,0.90625,0.03125,0
0.0016762,0.9375,0.03125,0
0.00013779,0.96875,0.03125,0
-0.00032043,1,0.03125,0
0.00049881,0,0.0625,0
-0.0072351,0.03125,0.0625,0
-0.0061674,0.0625,0.0625,0
-0.0033716,0.09375,0.0625,0
0.010889,0.125,0.0625,0
0.084925,0.15625,0.0625,0
-0.0026799,0.1875,0.0625,0
-0.074607,0.21875,0.0625,0
0.029744,0.25,0.0625,0
0.08299,0.28125,0.0625,0
0.1174,0.3125,0.0625,0
0.12422,0.34375,0.0625,0
0.11132,0.375,0.0625,0
0.088735,0.40625,0.0625,0
0.063505,0.4375,0.0625,0
0.037862,0.46875,0.0625,0
0.011654,0.5,0.0625,0
-0.016043,0.53125,0.0625,0
-0.046572,0.5625,0.0625,0
-0.0799,0.59375,0.0625,0
-0.11434,0.625,0.0625,0
-0.14143,0.65625,0.0625,0
-0.14848,0.6875,0.0625,0
-0.12101,0.71875,0.0625,0
-0.068536,0.75,0.0625,0
-0.0092614,0.78125,0.0625,0
0.0076965,0.8125,0.0625,0
0.011785,0.84375,0.0625,0
0.024787,0.875,0.0625,0
0.018686,0.90625,0.0625,0
0.010526,0.9375,0.0625,0
0.0030001,0.96875,0.0625,0
-0.00067705,1,0.0625,0
-0.00091787,0,0.09375,0
-0.010075,0.03125,0.09375,0
-0.0079273,0.0625,0.09375,0
-0.0081732,0.09375,0.09375,0
0.020737,0.125,0.09375,0
0.0011097,0.15625,0.09375,0
0.0057996,0.1875,0.09375,0
0.1041,0.21875,0.09375,0
0.16042,0.25,0.09375,0
0.18866,0.28125,0.09375,0
0.1831,0.3125,0.09375,0
0.15659,0.34375,0.09375,0
0.12545,0.375,0.09375,0
0.094033,0.40625,0.09375,0
0.065072,0.4375,0.09375,0
0.036916,0.46875,0.09375,0
0.0093187,0.5,0.09375,0
-0.019384,0.53125,0.09375,0
-0.050001,0.5625,0.09375,0
-0.083906,0.59375,0.09375,0
-0.12231,0.625,0.09375,0
-0.16428,0.65625,0.09375,0
-0.20301,0.6875,0.09375,0
-0.21909,0.71875,0.09375,0
-0.18916,0.75,0.09375,0
-0.11063,0.78125,0.09375,0
-0.028709,0.8125,0.09375,0
-0.0019915,0.84375,0.09375,0
0.014542,0.875,0.09375,0
0.026276,0.90625,0.09375,0
0.016672,0.9375,0.09375,0
0.0096913,0.96875,0.09375,0
0.001221,1,0.09375,0
-0.0028298,0,0.125,0
-0.013028,0.03125,0.125,0
-0.0041327,0.0625,0.125,0
0.015104,0.09375,0.125,0
0.013965,0.125,0.125,0
0.031179,0.15625,0.125,0
0.14233,0.1875,0.125,0
0.22735,0.21875,0.125,0
0.23808,0.25,0.125,0
0.21898,0.28125,0.125,0
0.18423,0.3125,0.125,0
0.15243,0.34375,0.125,0
0.1206,0.375,0.125,0
0.092181,0.40625,0.125,0
0.063276,0.4375,0.125,0
0.035329,0.46875,0.125,0
0.0065141,0.5,0.125,0
-0.022896,0.53125,0.125,0
-0.052931,0.5625,0.125,0
-0.08433,0.59375,0.125,0
-0.11576,0.625,0.125,0
-0.15104,0.65625,0.125,0
-0.19086,0.6875,0.125,0
-0.2386,0.71875,0.125,0
-0.27202,0.75,0.125,0
-0.25546,0.78125,0.125,0
-0.15628,0.8125,0.125,0
-0.040832,0.84375,0.125,0
0.0036595,0.875,0.125,0
0.018455,0.90625,0.125,0
0.022543,0.9375,0.125,0
0.013326,0.96875,0.125,0
9.2092e-05,1,0.125,0
-0.0011478,0,0.15625,0
-0.017979,0.03125,0.15625,0
0.0023993,0.0625,0.15625,0
0.015747,0.09375,0.15625,0
0.047146,0.125,0.15625,0
0.17211,0.15625,0.15625,0
0.26809,0.1875,0.15625,0
0.27652,0.21875,0.15625,0
0.25272,0.25,0.15625,0
0.21582,0.28125,0.15625,0
0.18503,0.3125,0.15625,0
0.15468,0.34375,0.15625,0
0.12636,0.375,0.15625,0
0.096953,0.40625,0.15625,0
0.067246,0.4375,0.15625,0
0.036935,0.46875,0.15625,0
0.006008,0.5,0.15625,0
-0.025416,0.53125,0.15625,0
-0.058043,0.5625,0.15625,0
-0.091016,0.59375,0.15625,0
-0.12467,0.625,0.15625,0
-0.15555,0.65625,0.15625,0
-0.18484,0.6875,0.15625,0
-0.21406,0.71875,0.15625,0
-0.2595,0.75,0.15625,0
-0.30769,0.78125,0.15625,0
-0.30842,0.8125,0.15625,0
-0.18855,0.84375,0.15625,0
-0.037275,0.875,0.15625,0
0.013049,0.90625,0.15625,0
0.016465,0.9375,0.15625,0
0.019067,0.96875,0.15625,0
