"v_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.052299,1,0,0,0.5,0
0.062909,1,0.001,0.001,0.5,0
0.07352,1,0.002,0.002,0.5,0
0.08413,1,0.003,0.003,0.5,0
0.09474,1,0.004,0.004,0.5,0
0.10535,1,0.005,0.005,0.5,0
0.11596,1,0.006,0.006,0.5,0
0.12657,1,0.007,0.007,0.5,0
0.13718,1,0.008,0.008,0.5,0
0.14779,1,0.009,0.009,0.5,0
0.1584,1,0.01,0.01,0.5,0
0.16901,1,0.011,0.011,0.5,0
0.17962,1,0.012,0.012,0.5,0
0.19023,1,0.013,0.013,0.5,0
0.20084,1,0.014,0.014,0.5,0
0.21145,1,0.015,0.015,0.5,0
0.22206,1,0.016,0.016,0.5,0
0.23267,1,0.017,0.017,0.5,0
0.24328,1,0.018,0.018,0.5,0
0.25389,1,0.019,0.019,0.5,0
0.2645,1,0.02,0.02,0.5,0
0.27511,1,0.021,0.021,0.5,0
0.28572,1,0.022,0.022,0.5,0
0.29633,1,0.023,0.023,0.5,0
0.30694,1,0.024,0.024,0.5,0
0.31755,1,0.025,0.025,0.5,0
0.32816,1,0.026,0.026,0.5,0
0.33877,1,0.027,0.027,0.5,0
0.34938,1,0.028,0.028,0.5,0
0.35999,1,0.029,0.029,0.5,0
0.3706,1,0.03,0.03,0.5,0
0.38121,1,0.031,0.031,0.5,0
0.38569,1,0.032,0.032,0.5,0
0.38812,1,0.033,0.033,0.5,0
0.39055,1,0.034,0.034,0.5,0
0.39298,1,0.035,0.035,0.5,0
0.39541,1,0.036,0.036,0.5,0
0.39784,1,0.037,0.037,0.5,0
0.40027,1,0.038,0.038,0.5,0
0.4027,1,0.039,0.039,0.5,0
0.40513,1,0.04,0.04,0.5,0
0.40756,1,0.041,0.041,0.5,0
0.40999,1,0.042,0.042,0.5,0
0.41242,1,0.043,0.043,0.5,0
0.41485,1,0.044,0.044,0.5,0
0.41728,1,0.045,0.045,0.5,0
0.41971,1,0.046,0.046,0.5,0
0.42214,1,0.047,0.047,0.5,0
0.42457,1,0.048,0.048,0.5,0
0.427,1,0.049,0.049,0.5,0
0.42943,1,0.05,0.05,0.5,0
0.43186,1,0.051,0.051,0.5,0
0.43429,1,0.052,0.052,0.5,0
0.43672,1,0.053,0.053,0.5,0
0.43915,1,0.054,0.054,0.5,0
0.44158,1,0.055,0.055,0.5,0
0.44401,1,0.056,0.056,0.5,0
0.44644,1,0.057,0.057,0.5,0
0.44887,1,0.058,0.058,0.5,0
0.4513,1,0.059,0.059,0.5,0
0.45373,1,0.06,0.06,0.5,0
0.45617,1,0.061,0.061,0.5,0
0.4586,1,0.062,0.062,0.5,0
0.45969,1,0.063,0.063,0.5,0
0.45946,1,0.064,0.064,0.5,0
0.45922,1,0.065,0.065,0.5,0
0.45898,1,0.066,0.066,0.5,0
0.45875,1,0.067,0.067,0.5,0
