"u_sol","Points:0","Points:1","Points:2"
0.0063162,0,0,0
-0.029093,0.0625,0,0
-0.11334,0.125,0,0
-0.24976,0.1875,0,0
-0.12619,0.25,0,0
0.054214,0.3125,0,0
0.027647,0.375,0,0
-0.019979,0.4375,0,0
-0.067472,0.5,0,0
-0.058094,0.5625,0,0
0.014864,0.625,0,0
0.077478,0.6875,0,0
0.11217,0.75,0,0
0.056616,0.8125,0,0
-0.005392,0.875,0,0
0.0052373,0.9375,0,0
-0.0054033,1,0,0
0.0015361,0,0.0625,0
-0.043738,0.0625,0.0625,0
0.040204,0.125,0.0625,0
0.16914,0.1875,0.0625,0
0.048558,0.25,0.0625,0
-0.19321,0.3125,0.0625,0
-0.32969,0.375,0.0625,0
-0.40517,0.4375,0.0625,0
-0.41708,0.5,0.0625,0
-0.39167,0.5625,0.0625,0
-0.32599,0.625,0.0625,0
-0.19138,0.6875,0.0625,0
-0.039977,0.75,0.0625,0
0.041996,0.8125,0.0625,0
0.023797,0.875,0.0625,0
0.0009007,0.9375,0.0625,0
0.0042724,1,0.0625,0
0.010591,0,0.125,0
-0.013341,0.0625,0.125,0
-0.017801,0.125,0.125,0
-0.099902,0.1875,0.125,0
-0.31039,0.25,0.125,0
-0.3996,0.3125,0.125,0
-0.40597,0.375,0.125,0
-0.39541,0.4375,0.125,0
-0.39119,0.5,0.125,0
-0.39494,0.5625,0.125,0
-0.40784,0.625,0.125,0
-0.40663,0.6875,0.125,0
-0.31863,0.75,0.125,0
-0.10738,0.8125,0.125,0
0.038168,0.875,0.125,0
0.0073244,0.9375,0.125,0
-0.0068768,1,0.125,0
-0.016962,0,0.1875,0
0.053287,0.0625,0.1875,0
-0.023641,0.125,0.1875,0
-0.28774,0.1875,0.1875,0
-0.31074,0.25,0.1875,0
-0.28281,0.3125,0.1875,0
-0.28499,0.375,0.1875,0
-0.29373,0.4375,0.1875,0
-0.29754,0.5,0.1875,0
-0.29513,0.5625,0.1875,0
-0.29423,0.625,0.1875,0
-0.31919,0.6875,0.1875,0
-0.36848,0.75,0.1875,0
-0.31922,0.8125,0.1875,0
-0.076125,0.875,0.1875,0
0.01354,0.9375,0.1875,0
-0.0044285,1,0.1875,0
-0.00048156,0,0.25,0
-0.0095711,0.0625,0.25,0
-0.20839,0.125,0.25,0
-0.29042,0.1875,0.25,0
-0.2696,0.25,0.25,0
-0.27867,0.3125,0.25,0
-0.279,0.375,0.25,0
-0.28238,0.4375,0.25,0
-0.28613,0.5,0.25,0
