"u_sol","Points:0","Points:1","Points:2"
-0.0031661,0,0,0
0.0033674,0.0625,0,0
0.00023669,0.125,0,0
0.0015086,0.1875,0,0
0.051129,0.25,0,0
0.058974,0.3125,0,0
-0.0076599,0.375,0,0
-0.082408,0.4375,0,0
-0.14122,0.5,0,0
-0.17685,0.5625,0,0
-0.1871,0.625,0,0
-0.16896,0.6875,0,0
-0.12344,0.75,0,0
-0.059437,0.8125,0,0
0.0046353,0.875,0,0
0.019516,0.9375,0,0
-0.0020075,1,0,0
0.0024264,0,0.0625,0
0.0089024,0.0625,0.0625,0
0.023897,0.125,0.0625,0
0.023011,0.1875,0.0625,0
-0.051869,0.25,0.0625,0
-0.14963,0.3125,0.0625,0
-0.22447,0.375,0.0625,0
-0.27979,0.4375,0.0625,0
-0.31125,0.5,0.0625,0
-0.3199,0.5625,0.0625,0
-0.30762,0.625,0.0625,0
-0.27754,0.6875,0.0625,0
-0.22944,0.75,0.0625,0
-0.16265,0.8125,0.0625,0
-0.084997,0.875,0.0625,0
-0.01076,0.9375,0.0625,0
0.0089038,1,0.0625,0
-0.00055895,0,0.125,0
0.020274,0.0625,0.125,0
-0.0030437,0.125,0.125,0
-0.08454,0.1875,0.125,0
-0.17644,0.25,0.125,0
-0.24699,0.3125,0.125,0
-0.28451,0.375,0.125,0
-0.29856,0.4375,0.125,0
-0.30159,0.5,0.125,0
-0.29819,0.5625,0.125,0
-0.28916,0.625,0.125,0
-0.27257,0.6875,0.125,0
-0.24677,0.75,0.125,0
-0.20723,0.8125,0.125,0
-0.14675,0.875,0.125,0
-0.063419,0.9375,0.125,0
0.0049147,1,0.125,0
0.0061502,0,0.1875,0
-0.0087353,0.0625,0.1875,0
-0.075024,0.125,0.1875,0
-0.15671,0.1875,0.1875,0
-0.21992,0.25,0.1875,0
-0.24969,0.3125,0.1875,0
-0.25736,0.375,0.1875,0
-0.25884,0.4375,0.1875,0
-0.25938,0.5,0.1875,0
-0.25593,0.5625,0.1875,0
-0.24598,0.625,0.1875,0
-0.23039,0.6875,0.1875,0
-0.212,0.75,0.1875,0
-0.19093,0.8125,0.1875,0
-0.15686,0.875,0.1875,0
-0.091628,0.9375,0.1875,0
-0.00066119,1,0.1875,0
0.0030048,0,0.25,0
-0.044827,0.0625,0.25,0
-0.11338,0.125,0.25,0
-0.17291,0.1875,0.25,0
-0.20334,0.25,0.25,0
-0.21109,0.3125,0.25,0
-0.21421,0.375,0.25,0
-0.21885,0.4375,0.25,0
-0.2207,0.5,0.25,0
-0.21743,0.5625,0.25,0
-0.20861,0.625,0.25,0
-0.19317,0.6875,0.25,0
-0.17197,0.75,0.25,0
-0.15074,0.8125,0.25,0
-0.13,0.875,0.25,0
-0.085565,0.9375,0.25,0
-0.0026021,1,0.25,0
0.0018054,0,0.3125,0
-0.055261,0.0625,0.3125,0
-0.11321,0.125,0.3125,0
-0.14914,0.1875,0.3125,0
-0.16155,0.25,0.3125,0
-0.16516,0.3125,0.3125,0
-0.17058,0.375,0.3125,0
-0.17436,0.4375,0.3125,0
-0.17387,0.5,0.3125,0
-0.17058,0.5625,0.3125,0
-0.16519,0.625,0.3125,0
-0.15619,0.6875,0.3125,0
-0.13966,0.75,0.3125,0
-0.11584,0.8125,0.3125,0
-0.095549,0.875,0.3125,0
-0.067046,0.9375,0.3125,0
-0.0035746,1,0.3125,0
0.0010808,0,0.375,0
-0.046051,0.0625,0.375,0
-0.087403,0.125,0.375,0
-0.10759,0.1875,0.375,0
-0.11374,0.25,0.375,0
-0.11792,0.3125,0.375,0
-0.12216,0.375,0.375,0
-0.12265,0.4375,0.375,0
-0.12046,0.5,0.375,0
-0.11754,0.5625,0.375,0
-0.11367,0.625,0.375,0
-0.10923,0.6875,0.375,0
-0.10234,0.75,0.375,0
-0.085126,0.8125,0.375,0
-0.066018,0.875,0.375,0
-0.048361,0.9375,0.375,0
-0.004007,1,0.375,0
0.0013753,0,0.4375,0
-0.026042,0.0625,0.4375,0
-0.050627,0.125,0.4375,0
-0.060923,0.1875,0.4375,0
-0.065074,0.25,0.4375,0
-0.06836,0.3125,0.4375,0
-0.070281,0.375,0.4375,0
-0.069823,0.4375,0.4375,0
-0.069245,0.5,0.4375,0
-0.068446,0.5625,0.4375,0
-0.066079,0.625,0.4375,0
-0.062429,0.6875,0.4375,0
-0.060662,0.75,0.4375,0
-0.053448,0.8125,0.4375,0
-0.040286,0.875,0.4375,0
-0.032435,0.9375,0.4375,0
-0.0044068,1,0.4375,0
0.0015917,0,0.5,0
-0.0021911,0.0625,0.5,0
-0.010499,0.125,0.5,0
-0.014058,0.1875,0.5,0
-0.016153,0.25,0.5,0
-0.01746,0.3125,0.5,0
-0.017831,0.375,0.5,0
-0.017628,0.4375,0.5,0
-0.01761,0.5,0.5,0
-0.017856,0.5625,0.5,0
-0.01873,0.625,0.5,0
-0.01868,0.6875,0.5,0
-0.019791,0.75,0.5,0
-0.020629,0.8125,0.5,0
-0.016557,0.875,0.5,0
-0.0189,0.9375,0.5,0
-0.0047438,1,0.5,0
0.0018178,0,0.5625,0
0.021424,0.0625,0.5625,0
0.028958,0.125,0.5625,0
0.032172,0.1875,0.5625,0
0.032357,0.25,0.5625,0
0.033157,0.3125,0.5625,0
0.034717,0.375,0.5625,0
0.034851,0.4375,0.5625,0
0.03424,0.5,0.5625,0
