"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.14122,1,0,0.5,0,0
-0.14394,1,0.001,0.5,0.001,0
-0.14666,1,0.002,0.5,0.002,0
-0.14938,1,0.003,0.5,0.003,0
-0.1521,1,0.004,0.5,0.004,0
-0.15482,1,0.005,0.5,0.005,0
-0.15754,1,0.006,0.5,0.006,0
-0.16026,1,0.007,0.5,0.007,0
-0.16298,1,0.008,0.5,0.008,0
-0.1657,1,0.009,0.5,0.009,0
-0.16842,1,0.01,0.5,0.01,0
-0.17114,1,0.011,0.5,0.011,0
-0.17386,1,0.012,0.5,0.012,0
-0.17658,1,0.013,0.5,0.013,0
-0.1793,1,0.014,0.5,0.014,0
-0.18203,1,0.015,0.5,0.015,0
-0.18475,1,0.016,0.5,0.016,0
-0.18747,1,0.017,0.5,0.017,0
-0.19019,1,0.018,0.5,0.018,0
-0.19291,1,0.019,0.5,0.019,0
-0.19563,1,0.02,0.5,0.02,0
-0.19835,1,0.021,0.5,0.021,0
-0.20107,1,0.022,0.5,0.022,0
-0.20379,1,0.023,0.5,0.023,0
-0.20651,1,0.024,0.5,0.024,0
-0.20923,1,0.025,0.5,0.025,0
-0.21195,1,0.026,0.5,0.026,0
-0.21467,1,0.027,0.5,0.027,0
-0.21739,1,0.028,0.5,0.028,0
-0.22011,1,0.029,0.5,0.029,0
-0.22283,1,0.03,0.5,0.03,0
-0.22555,1,0.031,0.5,0.031,0
-0.22827,1,0.032,0.5,0.032,0
-0.23099,1,0.033,0.5,0.033,0
-0.23372,1,0.034,0.5,0.034,0
-0.23644,1,0.035,0.5,0.035,0
-0.23916,1,0.036,0.5,0.036,0
-0.24188,1,0.037,0.5,0.037,0
-0.2446,1,0.038,0.5,0.038,0
-0.24732,1,0.039,0.5,0.039,0
-0.25004,1,0.04,0.5,0.04,0
-0.25276,1,0.041,0.5,0.041,0
-0.25548,1,0.042,0.5,0.042,0
-0.2582,1,0.043,0.5,0.043,0
