"v_sol","Points:0","Points:1","Points:2"
1.8184e-05,0,0,0
0.00018555,0.03125,0,0
0.00031763,0.0625,0,0
0.00023009,0.09375,0,0
0.00025878,0.125,0,0
-6.9338e-05,0.15625,0,0
-4.7994e-05,0.1875,0,0
0.0010131,0.21875,0,0
0.00026024,0.25,0,0
-0.0027132,0.28125,0,0
-0.0054891,0.3125,0,0
-0.0052723,0.34375,0,0
-0.0034338,0.375,0,0
-0.001566,0.40625,0,0
-0.00013445,0.4375,0,0
0.00080378,0.46875,0,0
0.001332,0.5,0,0
0.0015143,0.53125,0,0
0.001686,0.5625,0,0
0.0019624,0.59375,0,0
0.0024467,0.625,0,0
0.0029253,0.65625,0,0
0.0043108,0.6875,0,0
0.0041803,0.71875,0,0
0.0010113,0.75,0,0
-0.00038516,0.78125,0,0
-0.002193,0.8125,0,0
-0.001937,0.84375,0,0
-0.0007587,0.875,0,0
-0.00035949,0.90625,0,0
-0.00010797,0.9375,0,0
1.1598e-05,0.96875,0,0
1.7006e-05,1,0,0
0.00016166,0,0.03125,0
-0.0010428,0.03125,0.03125,0
-0.0018854,0.0625,0.03125,0
-0.0014684,0.09375,0.03125,0
-0.0010395,0.125,0.03125,0
-2.2711e-05,0.15625,0.03125,0
-0.00086209,0.1875,0.03125,0
-0.0034328,0.21875,0.03125,0
0.0012321,0.25,0.03125,0
0.0071041,0.28125,0.03125,0
0.012029,0.3125,0.03125,0
0.018398,0.34375,0.03125,0
0.022642,0.375,0.03125,0
0.022096,0.40625,0.03125,0
0.016707,0.4375,0.03125,0
0.0077509,0.46875,0.03125,0
-0.0033354,0.5,0.03125,0
-0.015199,0.53125,0.03125,0
-0.026128,0.5625,0.03125,0
-0.034103,0.59375,0.03125,0
-0.036729,0.625,0.03125,0
-0.031848,0.65625,0.03125,0
-0.01658,0.6875,0.03125,0
0.0049108,0.71875,0.03125,0
0.018724,0.75,0.03125,0
0.01835,0.78125,0.03125,0
0.012422,0.8125,0.03125,0
0.0066291,0.84375,0.03125,0
0.0030667,0.875,0.03125,0
0.0014011,0.90625,0.03125,0
0.00040971,0.9375,0.03125,0
-0.00021205,0.96875,0.03125,0
-0.00012958,1,0.03125,0
0.00015305,0,0.0625,0
-0.0045502,0.03125,0.0625,0
-0.006363,0.0625,0.0625,0
-0.0045166,0.09375,0.0625,0
-0.001126,0.125,0.0625,0
-0.0012119,0.15625,0.0625,0
0.0017039,0.1875,0.0625,0
0.012834,0.21875,0.0625,0
0.03233,0.25,0.0625,0
0.052093,0.28125,0.0625,0
0.064534,0.3125,0.0625,0
0.0674,0.34375,0.0625,0
0.061693,0.375,0.0625,0
0.049249,0.40625,0.0625,0
0.031854,0.4375,0.0625,0
0.011198,0.46875,0.0625,0
-0.011376,0.5,0.0625,0
-0.034538,0.53125,0.0625,0
-0.056567,0.5625,0.0625,0
-0.074898,0.59375,0.0625,0
-0.085873,0.625,0.0625,0
-0.085046,0.65625,0.0625,0
-0.069216,0.6875,0.0625,0
-0.037958,0.71875,0.0625,0
-0.00098387,0.75,0.0625,0
0.02129,0.78125,0.0625,0
0.024099,0.8125,0.0625,0
0.019818,0.84375,0.0625,0
0.013228,0.875,0.0625,0
0.0071245,0.90625,0.0625,0
0.0031401,0.9375,0.0625,0
0.00072549,0.96875,0.0625,0
