"v_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0028898,1,0,0,0.5,0
0.022555,1,0.001,0.001,0.5,0
0.042221,1,0.002,0.002,0.5,0
0.061887,1,0.003,0.003,0.5,0
0.081552,1,0.004,0.004,0.5,0
0.10122,1,0.005,0.005,0.5,0
0.12088,1,0.006,0.006,0.5,0
0.14055,1,0.007,0.007,0.5,0
0.15918,1,0.008,0.008,0.5,0
0.1733,1,0.009,0.009,0.5,0
0.18742,1,0.01,0.01,0.5,0
0.20154,1,0.011,0.011,0.5,0
0.21567,1,0.012,0.012,0.5,0
0.22979,1,0.013,0.013,0.5,0
0.24391,1,0.014,0.014,0.5,0
0.25804,1,0.015,0.015,0.5,0
0.27005,1,0.016,0.016,0.5,0
0.27856,1,0.017,0.017,0.5,0
0.28707,1,0.018,0.018,0.5,0
0.29558,1,0.019,0.019,0.5,0
0.30409,1,0.02,0.02,0.5,0
0.31259,1,0.021,0.021,0.5,0
0.3211,1,0.022,0.022,0.5,0
0.32961,1,0.023,0.023,0.5,0
0.33645,1,0.024,0.024,0.5,0
0.34198,1,0.025,0.025,0.5,0
0.34751,1,0.026,0.026,0.5,0
0.35304,1,0.027,0.027,0.5,0
0.35857,1,0.028,0.028,0.5,0
0.3641,1,0.029,0.029,0.5,0
0.36963,1,0.03,0.03,0.5,0
0.37516,1,0.031,0.031,0.5,0
0.3798,1,0.032,0.032,0.5,0
0.38414,1,0.033,0.033,0.5,0
0.38849,1,0.034,0.034,0.5,0
0.39283,1,0.035,0.035,0.5,0
0.39717,1,0.036,0.036,0.5,0
0.40151,1,0.037,0.037,0.5,0
0.40586,1,0.038,0.038,0.5,0
0.4102,1,0.039,0.039,0.5,0
0.41366,1,0.04,0.04,0.5,0
0.41706,1,0.041,0.041,0.5,0
0.42047,1,0.042,0.042,0.5,0
0.42387,1,0.043,0.043,0.5,0
0.42727,1,0.044,0.044,0.5,0
0.43068,1,0.045,0.045,0.5,0
0.43408,1,0.046,0.046,0.5,0
0.43734,1,0.047,0.047,0.5,0
0.43964,1,0.048,0.048,0.5,0
0.44194,1,0.049,0.049,0.5,0
0.44423,1,0.05,0.05,0.5,0
0.44653,1,0.051,0.051,0.5,0
0.44883,1,0.052,0.052,0.5,0
0.45112,1,0.053,0.053,0.5,0
0.45342,1,0.054,0.054,0.5,0
0.45537,1,0.055,0.055,0.5,0
0.45654,1,0.056,0.056,0.5,0
0.45771,1,0.057,0.057,0.5,0
0.45889,1,0.058,0.058,0.5,0
0.46006,1,0.059,0.059,0.5,0
0.46124,1,0.06,0.06,0.5,0
0.46241,1,0.061,0.061,0.5,0
0.46358,1,0.062,0.062,0.5,0
0.46427,1,0.063,0.063,0.5,0
0.46446,1,0.064,0.064,0.5,0
0.46465,1,0.065,0.065,0.5,0
0.46484,1,0.066,0.066,0.5,0
0.46503,1,0.067,0.067,0.5,0
0.46522,1,0.068,0.068,0.5,0
0.46541,1,0.069,0.069,0.5,0
0.46561,1,0.07,0.07,0.5,0
0.46528,1,0.071,0.071,0.5,0
0.46471,1,0.072,0.072,0.5,0
0.46415,1,0.073,0.073,0.5,0
0.46359,1,0.074,0.074,0.5,0
0.46302,1,0.075,0.075,0.5,0
0.46246,1,0.076,0.076,0.5,0
0.46189,1,0.077,0.077,0.5,0
0.46133,1,0.078,0.078,0.5,0
0.46033,1,0.079,0.079,0.5,0
0.45926,1,0.08,0.08,0.5,0
0.4582,1,0.081,0.081,0.5,0
0.45714,1,0.082,0.082,0.5,0
0.45607,1,0.083,0.083,0.5,0
0.45501,1,0.084,0.084,0.5,0
0.45394,1,0.085,0.085,0.5,0
0.45286,1,0.086,0.086,0.5,0
0.45154,1,0.087,0.087,0.5,0
0.45021,1,0.088,0.088,0.5,0
0.44888,1,0.089,0.089,0.5,0
0.44755,1,0.09,0.09,0.5,0
0.44622,1,0.091,0.091,0.5,0
0.44489,1,0.092,0.092,0.5,0
0.44357,1,0.093,0.093,0.5,0
0.44222,1,0.094,0.094,0.5,0
0.44081,1,0.095,0.095,0.5,0
0.43939,1,0.096,0.096,0.5,0
0.43798,1,0.097,0.097,0.5,0
0.43657,1,0.098,0.098,0.5,0
0.43516,1,0.099,0.099,0.5,0
0.43374,1,0.1,0.1,0.5,0
0.43233,1,0.101,0.101,0.5,0
0.43093,1,0.102,0.102,0.5,0
0.42955,1,0.103,0.103,0.5,0
0.42816,1,0.104,0.104,0.5,0
0.42678,1,0.105,0.105,0.5,0
0.42539,1,0.106,0.106,0.5,0
0.42401,1,0.107,0.107,0.5,0
0.42262,1,0.108,0.108,0.5,0
0.42124,1,0.109,0.109,0.5,0
0.4199,1,0.11,0.11,0.5,0
0.41859,1,0.111,0.111,0.5,0
0.41729,1,0.112,0.112,0.5,0
0.41598,1,0.113,0.113,0.5,0
0.41467,1,0.114,0.114,0.5,0
