"u_sol","Points:0","Points:1","Points:2"
1.1665e-06,0,0,0
-1.9635e-06,0.0078125,0,0
-1.1865e-05,0.015625,0,0
-2.0429e-05,0.023438,0,0
-2.5298e-05,0.03125,0,0
-2.5983e-05,0.039062,0,0
-2.2329e-05,0.046875,0,0
-1.4592e-05,0.054688,0,0
-3.4213e-06,0.0625,0,0
1.0172e-05,0.070312,0,0
2.4958e-05,0.078125,0,0
3.9692e-05,0.085938,0,0
5.3317e-05,0.09375,0,0
6.5113e-05,0.10156,0,0
7.4762e-05,0.10938,0,0
8.2338e-05,0.11719,0,0
8.8229e-05,0.125,0,0
9.3038e-05,0.13281,0,0
9.7485e-05,0.14062,0,0
0.00010233,0.14844,0,0
0.00010832,0.15625,0,0
0.00011615,0.16406,0,0
0.00012645,0.17188,0,0
0.0001398,0.17969,0,0
0.00015668,0.1875,0,0
0.0001775,0.19531,0,0
0.00020259,0.20312,0,0
0.00023231,0.21094,0,0
0.00026707,0.21875,0,0
0.00030749,0.22656,0,0
0.00035447,0.23438,0,0
0.00040927,0.24219,0,0
0.00047348,0.25,0,0
0.00054899,0.25781,0,0
0.00063788,0.26562,0,0
0.00074231,0.27344,0,0
0.00086447,0.28125,0,0
0.0010066,0.28906,0,0
0.0011705,0.29688,0,0
0.001358,0.30469,0,0
0.0015696,0.3125,0,0
0.0018052,0.32031,0,0
0.0020626,0.32812,0,0
0.0023368,0.33594,0,0
0.0026206,0.34375,0,0
0.0029042,0.35156,0,0
0.0031754,0.35938,0,0
0.0034185,0.36719,0,0
0.0036149,0.375,0,0
0.0037449,0.38281,0,0
0.0037903,0.39062,0,0
0.0037355,0.39844,0,0
0.0035688,0.40625,0,0
0.0032825,0.41406,0,0
0.0028726,0.42188,0,0
0.0023393,0.42969,0,0
0.0016868,0.4375,0,0
0.00092352,0.44531,0,0
6.2098e-05,0.45312,0,0
-0.0008806,0.46094,0,0
-0.0018837,0.46875,0,0
-0.0029226,0.47656,0,0
-0.0039691,0.48438,0,0
-0.0049915,0.49219,0,0
-0.005955,0.5,0,0
-0.0068221,0.50781,0,0
-0.007553,0.51562,0,0
-0.0081069,0.52344,0,0
-0.0084435,0.53125,0,0
-0.0085248,0.53906,0,0
-0.0083186,0.54688,0,0
-0.0078012,0.55469,0,0
-0.0069613,0.5625,0,0
-0.0058038,0.57031,0,0
-0.0043523,0.57812,0,0
-0.002651,0.58594,0,0
-0.00076438,0.59375,0,0
0.0012257,0.60156,0,0
0.0032249,0.60938,0,0
0.0051339,0.61719,0,0
0.0068573,0.625,0,0
0.008313,0.63281,0,0
0.0094395,0.64062,0,0
0.010202,0.64844,0,0
0.010594,0.65625,0,0
0.010635,0.66406,0,0
0.010367,0.67188,0,0
0.0098428,0.67969,0,0
0.0091239,0.6875,0,0
0.0082684,0.69531,0,0
0.0073281,0.70312,0,0
0.0063451,0.71094,0,0
0.005352,0.71875,0,0
0.0043736,0.72656,0,0
0.0034302,0.73438,0,0
0.0025411,0.74219,0,0
0.0017265,0.75,0,0
0.0010079,0.75781,0,0
0.00040608,0.76562,0,0
-6.37e-05,0.77344,0,0
-0.00039579,0.78125,0,0
-0.00059727,0.78906,0,0
-0.00068759,0.79688,0,0
-0.00069442,0.80469,0,0
-0.00064728,0.8125,0,0
-0.00057183,0.82031,0,0
-0.00048698,0.82812,0,0
-0.00040462,0.83594,0,0
-0.00033094,0.84375,0,0
-0.00026825,0.85156,0,0
-0.00021666,0.85938,0,0
-0.0001752,0.86719,0,0
-0.00014256,0.875,0,0
-0.00011734,0.88281,0,0
-9.8214e-05,0.89062,0,0
-8.3884e-05,0.89844,0,0
-7.3122e-05,0.90625,0,0
-6.4764e-05,0.91406,0,0
-5.7746e-05,0.92188,0,0
-5.114e-05,0.92969,0,0
-4.4211e-05,0.9375,0,0
-3.6469e-05,0.94531,0,0
-2.7725e-05,0.95312,0,0
-1.8163e-05,0.96094,0,0
-8.3343e-06,0.96875,0,0
5.5365e-07,0.97656,0,0
6.9762e-06,0.98438,0,0
6.3387e-06,0.99219,0,0
-5.1157e-08,1,0,0
4.3627e-06,0,0.0078125,0
-2.6942e-05,0.0078125,0.0078125,0
-7.1252e-05,0.015625,0.0078125,0
-7.4936e-05,0.023438,0.0078125,0
-5.7195e-06,0.03125,0.0078125,0
0.0001524,0.039062,0.0078125,0
0.00040245,0.046875,0.0078125,0
0.00073718,0.054688,0.0078125,0
0.0011411,0.0625,0.0078125,0
0.0015927,0.070312,0.0078125,0
0.002068,0.078125,0.0078125,0
0.002543,0.085938,0.0078125,0
0.0029971,0.09375,0.0078125,0
0.0034148,0.10156,0.0078125,0
0.0037873,0.10938,0.0078125,0
0.0041123,0.11719,0.0078125,0
0.0043934,0.125,0.0078125,0
0.0046385,0.13281,0.0078125,0
0.0048589,0.14062,0.0078125,0
0.0050672,0.14844,0.0078125,0
0.0052759,0.15625,0.0078125,0
0.0054964,0.16406,0.0078125,0
0.0057378,0.17188,0.0078125,0
0.0060063,0.17969,0.0078125,0
0.0063047,0.1875,0.0078125,0
0.0066316,0.19531,0.0078125,0
0.0069823,0.20312,0.0078125,0
0.0073482,0.21094,0.0078125,0
0.0077181,0.21875,0.0078125,0
0.0080788,0.22656,0.0078125,0
0.0084156,0.23438,0.0078125,0
0.0087118,0.24219,0.0078125,0
0.0089483,0.25,0.0078125,0
0.0091016,0.25781,0.0078125,0
0.0091419,0.26562,0.0078125,0
0.0090318,0.27344,0.0078125,0
0.0087249,0.28125,0.0078125,0
0.0081659,0.28906,0.0078125,0
0.0072906,0.29688,0.0078125,0
0.006026,0.30469,0.0078125,0
0.0042926,0.3125,0.0078125,0
0.0020065,0.32031,0.0078125,0
-0.00091623,0.32812,0.0078125,0
-0.0045567,0.33594,0.0078125,0
-0.0089867,0.34375,0.0078125,0
-0.014259,0.35156,0.0078125,0
-0.020401,0.35938,0.0078125,0
-0.02741,0.36719,0.0078125,0
-0.035251,0.375,0.0078125,0
-0.04386,0.38281,0.0078125,0
-0.053138,0.39062,0.0078125,0
-0.062952,0.39844,0.0078125,0
-0.073145,0.40625,0.0078125,0
-0.083537,0.41406,0.0078125,0
-0.093935,0.42188,0.0078125,0
-0.10414,0.42969,0.0078125,0
-0.11397,0.4375,0.0078125,0
-0.12323,0.44531,0.0078125,0
-0.13175,0.45312,0.0078125,0
-0.13938,0.46094,0.0078125,0
-0.14597,0.46875,0.0078125,0
-0.1514,0.47656,0.0078125,0
-0.15555,0.48438,0.0078125,0
-0.15833,0.49219,0.0078125,0
-0.15963,0.5,0.0078125,0
-0.15939,0.50781,0.0078125,0
-0.15754,0.51562,0.0078125,0
-0.15403,0.52344,0.0078125,0
-0.14884,0.53125,0.0078125,0
-0.14196,0.53906,0.0078125,0
-0.1334,0.54688,0.0078125,0
-0.12323,0.55469,0.0078125,0
-0.11154,0.5625,0.0078125,0
-0.098444,0.57031,0.0078125,0
-0.084128,0.57812,0.0078125,0
-0.068808,0.58594,0.0078125,0
-0.052743,0.59375,0.0078125,0
-0.036232,0.60156,0.0078125,0
-0.0196,0.60938,0.0078125,0
-0.0031916,0.61719,0.0078125,0
0.012649,0.625,0.0078125,0
0.027591,0.63281,0.0078125,0
0.041334,0.64062,0.0078125,0
0.053625,0.64844,0.0078125,0
0.064269,0.65625,0.0078125,0
0.073135,0.66406,0.0078125,0
0.080162,0.67188,0.0078125,0
0.085352,0.67969,0.0078125,0
0.088761,0.6875,0.0078125,0
0.090487,0.69531,0.0078125,0
0.090654,0.70312,0.0078125,0
0.089396,0.71094,0.0078125,0
0.086843,0.71875,0.0078125,0
0.083117,0.72656,0.0078125,0
0.078325,0.73438,0.0078125,0
0.072573,0.74219,0.0078125,0
0.065983,0.75,0.0078125,0
0.05871,0.75781,0.0078125,0
0.050966,0.76562,0.0078125,0
0.043025,0.77344,0.0078125,0
0.035206,0.78125,0.0078125,0
0.027837,0.78906,0.0078125,0
0.021201,0.79688,0.0078125,0
0.015493,0.80469,0.0078125,0
0.010799,0.8125,0.0078125,0
0.0070974,0.82031,0.0078125,0
0.004292,0.82812,0.0078125,0
0.0022411,0.83594,0.0078125,0
0.00079213,0.84375,0.0078125,0
-0.00019813,0.85156,0.0078125,0
-0.00085193,0.85938,0.0078125,0
-0.0012674,0.86719,0.0078125,0
-0.0015195,0.875,0.0078125,0
-0.0016624,0.88281,0.0078125,0
-0.0017331,0.89062,0.0078125,0
-0.0017546,0.89844,0.0078125,0
-0.0017393,0.90625,0.0078125,0
-0.0016919,0.91406,0.0078125,0
-0.0016126,0.92188,0.0078125,0
-0.0014995,0.92969,0.0078125,0
-0.0013515,0.9375,0.0078125,0
-0.0011695,0.94531,0.0078125,0
-0.00095898,0.95312,0.0078125,0
-0.00073011,0.96094,0.0078125,0
-0.00049882,0.96875,0.0078125,0
-0.00028653,0.97656,0.0078125,0
-0.00011867,0.98438,0.0078125,0
-2.0846e-05,0.99219,0.0078125,0
4.956e-06,1,0.0078125,0
3.7247e-06,0,0.015625,0
-2.4368e-05,0.0078125,0.015625,0
-4.3927e-05,0.015625,0.015625,0
1.5018e-05,0.023438,0.015625,0
0.00019436,0.03125,0.015625,0
0.0005164,0.039062,0.015625,0
0.00098371,0.046875,0.015625,0
0.0015827,0.054688,0.015625,0
0.0022869,0.0625,0.015625,0
0.0030616,0.070312,0.015625,0
0.0038686,0.078125,0.015625,0
0.0046706,0.085938,0.015625,0
0.0054358,0.09375,0.015625,0
0.0061407,0.10156,0.015625,0
0.0067713,0.10938,0.015625,0
0.0073237,0.11719,0.015625,0
0.0078028,0.125,0.015625,0
0.00822,0.13281,0.015625,0
0.0085916,0.14062,0.015625,0
0.0089357,0.14844,0.015625,0
0.0092702,0.15625,0.015625,0
0.0096104,0.16406,0.015625,0
0.0099678,0.17188,0.015625,0
0.010348,0.17969,0.015625,0
0.010751,0.1875,0.015625,0
0.011167,0.19531,0.015625,0
0.011582,0.20312,0.015625,0
0.011972,0.21094,0.015625,0
0.012308,0.21875,0.015625,0
0.012553,0.22656,0.015625,0
0.012666,0.23438,0.015625,0
0.012597,0.24219,0.015625,0
0.012287,0.25,0.015625,0
0.011666,0.25781,0.015625,0
0.010647,0.26562,0.015625,0
0.0091274,0.27344,0.015625,0
0.0069875,0.28125,0.015625,0
0.0040924,0.28906,0.015625,0
0.000297,0.29688,0.015625,0
-0.0045477,0.30469,0.015625,0
-0.010586,0.3125,0.015625,0
-0.017947,0.32031,0.015625,0
-0.026726,0.32812,0.015625,0
-0.036967,0.33594,0.015625,0
-0.048661,0.34375,0.015625,0
-0.061732,0.35156,0.015625,0
-0.076032,0.35938,0.015625,0
-0.091343,0.36719,0.015625,0
-0.10738,0.375,0.015625,0
-0.12383,0.38281,0.015625,0
-0.14033,0.39062,0.015625,0
-0.15657,0.39844,0.015625,0
-0.17221,0.40625,0.015625,0
-0.18701,0.41406,0.015625,0
-0.20074,0.42188,0.015625,0
-0.21322,0.42969,0.015625,0
-0.22431,0.4375,0.015625,0
-0.23392,0.44531,0.015625,0
-0.24199,0.45312,0.015625,0
-0.24845,0.46094,0.015625,0
-0.25328,0.46875,0.015625,0
-0.25646,0.47656,0.015625,0
-0.25799,0.48438,0.015625,0
-0.25785,0.49219,0.015625,0
-0.25605,0.5,0.015625,0
-0.25259,0.50781,0.015625,0
-0.24748,0.51562,0.015625,0
-0.24072,0.52344,0.015625,0
-0.23234,0.53125,0.015625,0
-0.22236,0.53906,0.015625,0
-0.21081,0.54688,0.015625,0
-0.19775,0.55469,0.015625,0
-0.18326,0.5625,0.015625,0
-0.16743,0.57031,0.015625,0
-0.15039,0.57812,0.015625,0
-0.13231,0.58594,0.015625,0
-0.11337,0.59375,0.015625,0
-0.093817,0.60156,0.015625,0
-0.0739,0.60938,0.015625,0
-0.053904,0.61719,0.015625,0
-0.034125,0.625,0.015625,0
-0.014859,0.63281,0.015625,0
0.0036075,0.64062,0.015625,0
0.021014,0.64844,0.015625,0
0.037134,0.65625,0.015625,0
0.051782,0.66406,0.015625,0
0.064821,0.67188,0.015625,0
0.076157,0.67969,0.015625,0
0.085739,0.6875,0.015625,0
0.093549,0.69531,0.015625,0
0.099598,0.70312,0.015625,0
0.10391,0.71094,0.015625,0
0.10651,0.71875,0.015625,0
0.10743,0.72656,0.015625,0
0.10665,0.73438,0.015625,0
0.10418,0.74219,0.015625,0
0.099999,0.75,0.015625,0
0.09411,0.75781,0.015625,0
0.086586,0.76562,0.015625,0
0.077613,0.77344,0.015625,0
0.067529,0.78125,0.015625,0
0.056832,0.78906,0.015625,0
0.046129,0.79688,0.015625,0
0.036027,0.80469,0.015625,0
0.02702,0.8125,0.015625,0
0.019403,0.82031,0.015625,0
0.013261,0.82812,0.015625,0
0.0085134,0.83594,0.015625,0
0.0049724,0.84375,0.015625,0
