"v_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.054055,1,0,0,0.5,0
0.059376,1,0.001,0.001,0.5,0
0.064697,1,0.002,0.002,0.5,0
0.070018,1,0.003,0.003,0.5,0
0.07534,1,0.004,0.004,0.5,0
0.080661,1,0.005,0.005,0.5,0
0.085982,1,0.006,0.006,0.5,0
0.091303,1,0.007,0.007,0.5,0
0.096624,1,0.008,0.008,0.5,0
0.10195,1,0.009,0.009,0.5,0
0.10727,1,0.01,0.01,0.5,0
0.11259,1,0.011,0.011,0.5,0
0.11791,1,0.012,0.012,0.5,0
0.12323,1,0.013,0.013,0.5,0
0.12855,1,0.014,0.014,0.5,0
0.13387,1,0.015,0.015,0.5,0
0.13919,1,0.016,0.016,0.5,0
0.14452,1,0.017,0.017,0.5,0
0.14984,1,0.018,0.018,0.5,0
0.15516,1,0.019,0.019,0.5,0
0.16048,1,0.02,0.02,0.5,0
0.1658,1,0.021,0.021,0.5,0
0.17112,1,0.022,0.022,0.5,0
0.17644,1,0.023,0.023,0.5,0
0.18176,1,0.024,0.024,0.5,0
0.18708,1,0.025,0.025,0.5,0
0.19241,1,0.026,0.026,0.5,0
0.19773,1,0.027,0.027,0.5,0
0.20305,1,0.028,0.028,0.5,0
0.20837,1,0.029,0.029,0.5,0
0.21369,1,0.03,0.03,0.5,0
0.21901,1,0.031,0.031,0.5,0
0.22433,1,0.032,0.032,0.5,0
0.22965,1,0.033,0.033,0.5,0
0.23498,1,0.034,0.034,0.5,0
0.2403,1,0.035,0.035,0.5,0
0.24562,1,0.036,0.036,0.5,0
0.25094,1,0.037,0.037,0.5,0
0.25626,1,0.038,0.038,0.5,0
0.26158,1,0.039,0.039,0.5,0
0.2669,1,0.04,0.04,0.5,0
0.27222,1,0.041,0.041,0.5,0
0.27755,1,0.042,0.042,0.5,0
0.28287,1,0.043,0.043,0.5,0
0.28819,1,0.044,0.044,0.5,0
0.29351,1,0.045,0.045,0.5,0
0.29883,1,0.046,0.046,0.5,0
0.30415,1,0.047,0.047,0.5,0
0.30947,1,0.048,0.048,0.5,0
0.31479,1,0.049,0.049,0.5,0
0.32011,1,0.05,0.05,0.5,0
0.32544,1,0.051,0.051,0.5,0
0.33076,1,0.052,0.052,0.5,0
0.33608,1,0.053,0.053,0.5,0
0.3414,1,0.054,0.054,0.5,0
0.34672,1,0.055,0.055,0.5,0
0.35204,1,0.056,0.056,0.5,0
0.35736,1,0.057,0.057,0.5,0
0.36268,1,0.058,0.058,0.5,0
0.36801,1,0.059,0.059,0.5,0
0.37333,1,0.06,0.06,0.5,0
0.37865,1,0.061,0.061,0.5,0
0.38397,1,0.062,0.062,0.5,0
0.38669,1,0.063,0.063,0.5,0
0.38682,1,0.064,0.064,0.5,0
0.38695,1,0.065,0.065,0.5,0
0.38708,1,0.066,0.066,0.5,0
0.38721,1,0.067,0.067,0.5,0
0.38733,1,0.068,0.068,0.5,0
0.38746,1,0.069,0.069,0.5,0
0.38759,1,0.07,0.07,0.5,0
0.38772,1,0.071,0.071,0.5,0
0.38784,1,0.072,0.072,0.5,0
0.38797,1,0.073,0.073,0.5,0
0.3881,1,0.074,0.074,0.5,0
0.38823,1,0.075,0.075,0.5,0
0.38836,1,0.076,0.076,0.5,0
0.38848,1,0.077,0.077,0.5,0
0.38861,1,0.078,0.078,0.5,0
0.38874,1,0.079,0.079,0.5,0
0.38887,1,0.08,0.08,0.5,0
0.389,1,0.081,0.081,0.5,0
0.38912,1,0.082,0.082,0.5,0
0.38925,1,0.083,0.083,0.5,0
0.38938,1,0.084,0.084,0.5,0
0.38951,1,0.085,0.085,0.5,0
0.38963,1,0.086,0.086,0.5,0
0.38976,1,0.087,0.087,0.5,0
0.38989,1,0.088,0.088,0.5,0
0.39002,1,0.089,0.089,0.5,0
0.39015,1,0.09,0.09,0.5,0
0.39027,1,0.091,0.091,0.5,0
0.3904,1,0.092,0.092,0.5,0
0.39053,1,0.093,0.093,0.5,0
0.39066,1,0.094,0.094,0.5,0
0.39079,1,0.095,0.095,0.5,0
0.39091,1,0.096,0.096,0.5,0
0.39104,1,0.097,0.097,0.5,0
0.39117,1,0.098,0.098,0.5,0
0.3913,1,0.099,0.099,0.5,0
0.39142,1,0.1,0.1,0.5,0
0.39155,1,0.101,0.101,0.5,0
0.39168,1,0.102,0.102,0.5,0
0.39181,1,0.103,0.103,0.5,0
0.39194,1,0.104,0.104,0.5,0
0.39206,1,0.105,0.105,0.5,0
0.39219,1,0.106,0.106,0.5,0
0.39232,1,0.107,0.107,0.5,0
0.39245,1,0.108,0.108,0.5,0
0.39258,1,0.109,0.109,0.5,0
0.3927,1,0.11,0.11,0.5,0
0.39283,1,0.111,0.111,0.5,0
0.39296,1,0.112,0.112,0.5,0
0.39309,1,0.113,0.113,0.5,0
0.39321,1,0.114,0.114,0.5,0
0.39334,1,0.115,0.115,0.5,0
0.39347,1,0.116,0.116,0.5,0
0.3936,1,0.117,0.117,0.5,0
0.39373,1,0.118,0.118,0.5,0
0.39385,1,0.119,0.119,0.5,0
0.39398,1,0.12,0.12,0.5,0
0.39411,1,0.121,0.121,0.5,0
0.39424,1,0.122,0.122,0.5,0
0.39437,1,0.123,0.123,0.5,0
0.39449,1,0.124,0.124,0.5,0
0.39462,1,0.125,0.125,0.5,0
0.39299,1,0.126,0.126,0.5,0
0.39135,1,0.127,0.127,0.5,0
0.38971,1,0.128,0.128,0.5,0
0.38808,1,0.129,0.129,0.5,0
0.38644,1,0.13,0.13,0.5,0
0.38481,1,0.131,0.131,0.5,0
0.38317,1,0.132,0.132,0.5,0
0.38154,1,0.133,0.133,0.5,0
0.3799,1,0.134,0.134,0.5,0
0.37827,1,0.135,0.135,0.5,0
0.37663,1,0.136,0.136,0.5,0
0.375,1,0.137,0.137,0.5,0
0.37336,1,0.138,0.138,0.5,0
0.37172,1,0.139,0.139,0.5,0
0.37009,1,0.14,0.14,0.5,0
0.36845,1,0.141,0.141,0.5,0
0.36682,1,0.142,0.142,0.5,0
0.36518,1,0.143,0.143,0.5,0
0.36355,1,0.144,0.144,0.5,0
0.36191,1,0.145,0.145,0.5,0
0.36028,1,0.146,0.146,0.5,0
0.35864,1,0.147,0.147,0.5,0
0.357,1,0.148,0.148,0.5,0
0.35537,1,0.149,0.149,0.5,0
0.35373,1,0.15,0.15,0.5,0
0.3521,1,0.151,0.151,0.5,0
0.35046,1,0.152,0.152,0.5,0
0.34883,1,0.153,0.153,0.5,0
0.34719,1,0.154,0.154,0.5,0
0.34556,1,0.155,0.155,0.5,0
0.34392,1,0.156,0.156,0.5,0
0.34229,1,0.157,0.157,0.5,0
0.34065,1,0.158,0.158,0.5,0
0.33901,1,0.159,0.159,0.5,0
0.33738,1,0.16,0.16,0.5,0
