"v_sol","Points:0","Points:1","Points:2"
-1.5384e-06,0,0,0
-3.7833e-06,0.0078125,0,0
1.7757e-06,0.015625,0,0
1.0953e-05,0.023438,0,0
2.1104e-05,0.03125,0,0
3.0747e-05,0.039062,0,0
3.8838e-05,0.046875,0,0
4.463e-05,0.054688,0,0
4.7694e-05,0.0625,0,0
4.7945e-05,0.070312,0,0
4.5641e-05,0.078125,0,0
4.1318e-05,0.085938,0,0
3.569e-05,0.09375,0,0
2.9539e-05,0.10156,0,0
2.36e-05,0.10938,0,0
1.8488e-05,0.11719,0,0
1.4648e-05,0.125,0,0
1.2338e-05,0.13281,0,0
1.164e-05,0.14062,0,0
1.2473e-05,0.14844,0,0
1.4618e-05,0.15625,0,0
1.7742e-05,0.16406,0,0
2.1423e-05,0.17188,0,0
2.5191e-05,0.17969,0,0
2.8573e-05,0.1875,0,0
3.1158e-05,0.19531,0,0
3.2648e-05,0.20312,0,0
3.2896e-05,0.21094,0,0
3.1889e-05,0.21875,0,0
2.9695e-05,0.22656,0,0
2.6366e-05,0.23438,0,0
2.1849e-05,0.24219,0,0
1.5924e-05,0.25,0,0
8.2087e-06,0.25781,0,0
-1.7921e-06,0.26562,0,0
-1.4619e-05,0.27344,0,0
-3.0805e-05,0.28125,0,0
-5.0857e-05,0.28906,0,0
-7.5247e-05,0.29688,0,0
-0.00010439,0.30469,0,0
-0.00013864,0.3125,0,0
-0.00017821,0.32031,0,0
-0.00022312,0.32812,0,0
-0.00027313,0.33594,0,0
-0.00032769,0.34375,0,0
-0.00038592,0.35156,0,0
-0.00044662,0.35938,0,0
-0.00050822,0.36719,0,0
-0.00056888,0.375,0,0
-0.00062649,0.38281,0,0
-0.00067889,0.39062,0,0
-0.00072394,0.39844,0,0
-0.00075976,0.40625,0,0
-0.00078472,0.41406,0,0
-0.00079758,0.42188,0,0
-0.00079743,0.42969,0,0
-0.00078374,0.4375,0,0
-0.00075625,0.44531,0,0
-0.00071501,0.45312,0,0
-0.00066025,0.46094,0,0
-0.00059239,0.46875,0,0
-0.00051195,0.47656,0,0
-0.0004196,0.48438,0,0
-0.00031612,0.49219,0,0
-0.00020238,0.5,0,0
-7.947e-05,0.50781,0,0
5.1362e-05,0.51562,0,0
0.0001886,0.52344,0,0
0.00033042,0.53125,0,0
0.00047466,0.53906,0,0
0.00061879,0.54688,0,0
0.0007599,0.55469,0,0
0.00089476,0.5625,0,0
0.0010198,0.57031,0,0
0.0011314,0.57812,0,0
0.0012258,0.58594,0,0
0.0012994,0.59375,0,0
0.0013491,0.60156,0,0
0.0013724,0.60938,0,0
0.0013675,0.61719,0,0
0.0013339,0.625,0,0
0.0012721,0.63281,0,0
0.001184,0.64062,0,0
0.0010726,0.64844,0,0
0.00094204,0.65625,0,0
0.00079736,0.66406,0,0
0.00064401,0.67188,0,0
0.00048751,0.67969,0,0
0.00033306,0.6875,0,0
0.00018512,0.69531,0,0
4.7178e-05,0.70312,0,0
-7.8353e-05,0.71094,0,0
-0.00019013,0.71875,0,0
-0.00028767,0.72656,0,0
-0.00037104,0.73438,0,0
-0.00044052,0.74219,0,0
-0.00049627,0.75,0,0
-0.00053809,0.75781,0,0
-0.00056545,0.76562,0,0
-0.0005776,0.77344,0,0
-0.00057402,0.78125,0,0
-0.00055484,0.78906,0,0
-0.00052131,0.79688,0,0
-0.00047587,0.80469,0,0
-0.00042204,0.8125,0,0
-0.00036384,0.82031,0,0
-0.00030525,0.82812,0,0
-0.00024958,0.83594,0,0
-0.0001992,0.84375,0,0
-0.00015546,0.85156,0,0
-0.00011879,0.85938,0,0
-8.8972e-05,0.86719,0,0
-6.5338e-05,0.875,0,0
-4.7007e-05,0.88281,0,0
-3.3018e-05,0.89062,0,0
-2.2426e-05,0.89844,0,0
-1.4358e-05,0.90625,0,0
-8.057e-06,0.91406,0,0
-2.9062e-06,0.92188,0,0
1.5468e-06,0.92969,0,0
5.5755e-06,0.9375,0,0
9.2765e-06,0.94531,0,0
1.2554e-05,0.95312,0,0
1.5146e-05,0.96094,0,0
1.6561e-05,0.96875,0,0
1.6152e-05,0.97656,0,0
1.2996e-05,0.98438,0,0
6.4403e-06,0.99219,0,0
-1.8342e-07,1,0,0
6.2128e-06,0,0.0078125,0
2.3264e-05,0.0078125,0.0078125,0
-6.5802e-06,0.015625,0.0078125,0
-5.4067e-05,0.023438,0.0078125,0
-0.00010601,0.03125,0.0078125,0
-0.00015525,0.039062,0.0078125,0
-0.00019648,0.046875,0.0078125,0
-0.00022595,0.054688,0.0078125,0
-0.00024145,0.0625,0.0078125,0
-0.00024256,0.070312,0.0078125,0
-0.00023061,0.078125,0.0078125,0
-0.00020838,0.085938,0.0078125,0
-0.00017956,0.09375,0.0078125,0
-0.00014815,0.10156,0.0078125,0
-0.00011793,0.10938,0.0078125,0
-9.2005e-05,0.11719,0.0078125,0
-7.2625e-05,0.125,0.0078125,0
-6.1081e-05,0.13281,0.0078125,0
-5.7761e-05,0.14062,0.0078125,0
-6.224e-05,0.14844,0.0078125,0
-7.3402e-05,0.15625,0.0078125,0
-8.9548e-05,0.16406,0.0078125,0
-0.00010854,0.17188,0.0078125,0
-0.00012797,0.17969,0.0078125,0
-0.00014544,0.1875,0.0078125,0
-0.00015885,0.19531,0.0078125,0
-0.0001667,0.20312,0.0078125,0
-0.00016826,0.21094,0.0078125,0
-0.00016353,0.21875,0.0078125,0
-0.00015291,0.22656,0.0078125,0
-0.00013672,0.23438,0.0078125,0
-0.00011475,0.24219,0.0078125,0
-8.5875e-05,0.25,0.0078125,0
-4.817e-05,0.25781,0.0078125,0
8.8453e-07,0.26562,0.0078125,0
6.4009e-05,0.27344,0.0078125,0
0.00014387,0.28125,0.0078125,0
0.00024296,0.28906,0.0078125,0
0.00036361,0.29688,0.0078125,0
0.00050787,0.30469,0.0078125,0
0.00067742,0.3125,0.0078125,0
0.00087323,0.32031,0.0078125,0
0.0010953,0.32812,0.0078125,0
0.0013425,0.33594,0.0078125,0
0.0016119,0.34375,0.0078125,0
0.0018993,0.35156,0.0078125,0
0.0021989,0.35938,0.0078125,0
0.0025031,0.36719,0.0078125,0
0.002803,0.375,0.0078125,0
0.0030889,0.38281,0.0078125,0
0.0033506,0.39062,0.0078125,0
0.0035784,0.39844,0.0078125,0
0.0037635,0.40625,0.0078125,0
0.0038983,0.41406,0.0078125,0
0.0039767,0.42188,0.0078125,0
0.0039938,0.42969,0.0078125,0
0.0039465,0.4375,0.0078125,0
0.0038327,0.44531,0.0078125,0
0.0036515,0.45312,0.0078125,0
0.003403,0.46094,0.0078125,0
0.0030881,0.46875,0.0078125,0
0.0027081,0.47656,0.0078125,0
0.0022652,0.48438,0.0078125,0
0.0017619,0.49219,0.0078125,0
0.0012016,0.5,0.0078125,0
0.00058845,0.50781,0.0078125,0
-7.226e-05,0.51562,0.0078125,0
-0.00077373,0.52344,0.0078125,0
-0.0015074,0.53125,0.0078125,0
-0.0022624,0.53906,0.0078125,0
-0.0030258,0.54688,0.0078125,0
-0.0037817,0.55469,0.0078125,0
-0.0045121,0.5625,0.0078125,0
-0.0051965,0.57031,0.0078125,0
-0.005813,0.57812,0.0078125,0
-0.006339,0.58594,0.0078125,0
-0.0067524,0.59375,0.0078125,0
-0.0070336,0.60156,0.0078125,0
-0.0071667,0.60938,0.0078125,0
-0.0071411,0.61719,0.0078125,0
-0.0069536,0.625,0.0078125,0
-0.0066083,0.63281,0.0078125,0
-0.0061179,0.64062,0.0078125,0
-0.0055022,0.64844,0.0078125,0
-0.0047872,0.65625,0.0078125,0
-0.0040032,0.66406,0.0078125,0
-0.0031822,0.67188,0.0078125,0
-0.0023551,0.67969,0.0078125,0
-0.0015497,0.6875,0.0078125,0
-0.0007889,0.69531,0.0078125,0
-8.926e-05,0.70312,0.0078125,0
0.00053885,0.71094,0.0078125,0
0.0010908,0.71875,0.0078125,0
0.0015662,0.72656,0.0078125,0
0.0019673,0.73438,0.0078125,0
0.0022972,0.74219,0.0078125,0
0.0025576,0.75,0.0078125,0
0.0027487,0.75781,0.0078125,0
0.0028685,0.76562,0.0078125,0
0.0029138,0.77344,0.0078125,0
0.0028828,0.78125,0.0078125,0
0.0027766,0.78906,0.0078125,0
0.0026016,0.79688,0.0078125,0
0.0023698,0.80469,0.0078125,0
0.0020982,0.8125,0.0078125,0
0.0018064,0.82031,0.0078125,0
0.0015137,0.82812,0.0078125,0
0.0012362,0.83594,0.0078125,0
0.00098536,0.84375,0.0078125,0
