"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0066005,1,0,0.5,0,0
0.0024448,1,0.001,0.5,0.001,0
-0.001711,1,0.002,0.5,0.002,0
-0.0058667,1,0.003,0.5,0.003,0
-0.010022,1,0.004,0.5,0.004,0
-0.014178,1,0.005,0.5,0.005,0
-0.018334,1,0.006,0.5,0.006,0
-0.022489,1,0.007,0.5,0.007,0
-0.026645,1,0.008,0.5,0.008,0
-0.030801,1,0.009,0.5,0.009,0
-0.034957,1,0.01,0.5,0.01,0
-0.039112,1,0.011,0.5,0.011,0
-0.043268,1,0.012,0.5,0.012,0
-0.047424,1,0.013,0.5,0.013,0
-0.051579,1,0.014,0.5,0.014,0
-0.055735,1,0.015,0.5,0.015,0
-0.059891,1,0.016,0.5,0.016,0
-0.064046,1,0.017,0.5,0.017,0
-0.068202,1,0.018,0.5,0.018,0
-0.072358,1,0.019,0.5,0.019,0
-0.076514,1,0.02,0.5,0.02,0
-0.080669,1,0.021,0.5,0.021,0
-0.084825,1,0.022,0.5,0.022,0
-0.088981,1,0.023,0.5,0.023,0
-0.093136,1,0.024,0.5,0.024,0
-0.097292,1,0.025,0.5,0.025,0
-0.10145,1,0.026,0.5,0.026,0
-0.1056,1,0.027,0.5,0.027,0
-0.10976,1,0.028,0.5,0.028,0
-0.11391,1,0.029,0.5,0.029,0
-0.11807,1,0.03,0.5,0.03,0
-0.12223,1,0.031,0.5,0.031,0
-0.12638,1,0.032,0.5,0.032,0
-0.13054,1,0.033,0.5,0.033,0
-0.13469,1,0.034,0.5,0.034,0
-0.13885,1,0.035,0.5,0.035,0
-0.143,1,0.036,0.5,0.036,0
-0.14716,1,0.037,0.5,0.037,0
-0.15132,1,0.038,0.5,0.038,0
-0.15547,1,0.039,0.5,0.039,0
-0.15963,1,0.04,0.5,0.04,0
-0.16378,1,0.041,0.5,0.041,0
-0.16794,1,0.042,0.5,0.042,0
-0.17209,1,0.043,0.5,0.043,0
-0.17625,1,0.044,0.5,0.044,0
-0.18041,1,0.045,0.5,0.045,0
-0.18456,1,0.046,0.5,0.046,0
-0.18872,1,0.047,0.5,0.047,0
-0.19287,1,0.048,0.5,0.048,0
-0.19703,1,0.049,0.5,0.049,0
-0.20118,1,0.05,0.5,0.05,0
-0.20534,1,0.051,0.5,0.051,0
-0.2095,1,0.052,0.5,0.052,0
-0.21365,1,0.053,0.5,0.053,0
-0.21781,1,0.054,0.5,0.054,0
-0.22196,1,0.055,0.5,0.055,0
-0.22612,1,0.056,0.5,0.056,0
-0.23027,1,0.057,0.5,0.057,0
-0.23443,1,0.058,0.5,0.058,0
-0.23859,1,0.059,0.5,0.059,0
-0.24274,1,0.06,0.5,0.06,0
-0.2469,1,0.061,0.5,0.061,0
-0.25105,1,0.062,0.5,0.062,0
-0.2542,1,0.063,0.5,0.063,0
-0.25632,1,0.064,0.5,0.064,0
-0.25845,1,0.065,0.5,0.065,0
-0.26058,1,0.066,0.5,0.066,0
-0.26271,1,0.067,0.5,0.067,0
-0.26484,1,0.068,0.5,0.068,0
-0.26697,1,0.069,0.5,0.069,0
-0.2691,1,0.07,0.5,0.07,0
-0.27123,1,0.071,0.5,0.071,0
-0.27336,1,0.072,0.5,0.072,0
-0.27549,1,0.073,0.5,0.073,0
-0.27762,1,0.074,0.5,0.074,0
-0.27975,1,0.075,0.5,0.075,0
-0.28188,1,0.076,0.5,0.076,0
-0.28401,1,0.077,0.5,0.077,0
-0.28613,1,0.078,0.5,0.078,0
-0.28826,1,0.079,0.5,0.079,0
-0.29039,1,0.08,0.5,0.08,0
-0.29252,1,0.081,0.5,0.081,0
-0.29465,1,0.082,0.5,0.082,0
-0.29678,1,0.083,0.5,0.083,0
-0.29891,1,0.084,0.5,0.084,0
-0.30104,1,0.085,0.5,0.085,0
-0.30317,1,0.086,0.5,0.086,0
-0.3053,1,0.087,0.5,0.087,0
-0.30743,1,0.088,0.5,0.088,0
-0.30956,1,0.089,0.5,0.089,0
-0.31169,1,0.09,0.5,0.09,0
-0.31382,1,0.091,0.5,0.091,0
-0.31594,1,0.092,0.5,0.092,0
-0.31807,1,0.093,0.5,0.093,0
-0.3202,1,0.094,0.5,0.094,0
-0.32233,1,0.095,0.5,0.095,0
-0.32446,1,0.096,0.5,0.096,0
-0.32659,1,0.097,0.5,0.097,0
-0.32872,1,0.098,0.5,0.098,0
-0.33085,1,0.099,0.5,0.099,0
-0.33298,1,0.1,0.5,0.1,0
-0.33511,1,0.101,0.5,0.101,0
-0.33724,1,0.102,0.5,0.102,0
-0.33937,1,0.103,0.5,0.103,0
-0.3415,1,0.104,0.5,0.104,0
-0.34363,1,0.105,0.5,0.105,0
-0.34575,1,0.106,0.5,0.106,0
-0.34788,1,0.107,0.5,0.107,0
-0.35001,1,0.108,0.5,0.108,0
-0.35214,1,0.109,0.5,0.109,0
-0.35427,1,0.11,0.5,0.11,0
-0.3564,1,0.111,0.5,0.111,0
-0.35853,1,0.112,0.5,0.112,0
-0.36066,1,0.113,0.5,0.113,0
-0.36279,1,0.114,0.5,0.114,0
-0.36492,1,0.115,0.5,0.115,0
-0.36705,1,0.116,0.5,0.116,0
-0.36918,1,0.117,0.5,0.117,0
-0.37131,1,0.118,0.5,0.118,0
-0.37344,1,0.119,0.5,0.119,0
-0.37556,1,0.12,0.5,0.12,0
-0.37769,1,0.121,0.5,0.121,0
-0.37982,1,0.122,0.5,0.122,0
-0.38195,1,0.123,0.5,0.123,0
-0.38408,1,0.124,0.5,0.124,0
-0.38621,1,0.125,0.5,0.125,0
-0.38484,1,0.126,0.5,0.126,0
-0.38346,1,0.127,0.5,0.127,0
-0.38209,1,0.128,0.5,0.128,0
-0.38071,1,0.129,0.5,0.129,0
-0.37934,1,0.13,0.5,0.13,0
-0.37796,1,0.131,0.5,0.131,0
-0.37659,1,0.132,0.5,0.132,0
-0.37521,1,0.133,0.5,0.133,0
-0.37384,1,0.134,0.5,0.134,0
-0.37246,1,0.135,0.5,0.135,0
-0.37109,1,0.136,0.5,0.136,0
-0.36971,1,0.137,0.5,0.137,0
-0.36834,1,0.138,0.5,0.138,0
-0.36696,1,0.139,0.5,0.139,0
-0.36559,1,0.14,0.5,0.14,0
-0.36421,1,0.141,0.5,0.141,0
-0.36284,1,0.142,0.5,0.142,0
-0.36146,1,0.143,0.5,0.143,0
-0.36009,1,0.144,0.5,0.144,0
-0.35871,1,0.145,0.5,0.145,0
-0.35734,1,0.146,0.5,0.146,0
-0.35596,1,0.147,0.5,0.147,0
-0.35459,1,0.148,0.5,0.148,0
-0.35322,1,0.149,0.5,0.149,0
-0.35184,1,0.15,0.5,0.15,0
-0.35047,1,0.151,0.5,0.151,0
-0.34909,1,0.152,0.5,0.152,0
-0.34772,1,0.153,0.5,0.153,0
-0.34634,1,0.154,0.5,0.154,0
-0.34497,1,0.155,0.5,0.155,0
-0.34359,1,0.156,0.5,0.156,0
-0.34222,1,0.157,0.5,0.157,0
-0.34084,1,0.158,0.5,0.158,0
-0.33947,1,0.159,0.5,0.159,0
-0.33809,1,0.16,0.5,0.16,0
-0.33672,1,0.161,0.5,0.161,0
-0.33534,1,0.162,0.5,0.162,0
-0.33397,1,0.163,0.5,0.163,0
-0.33259,1,0.164,0.5,0.164,0
-0.33122,1,0.165,0.5,0.165,0
-0.32984,1,0.166,0.5,0.166,0
-0.32847,1,0.167,0.5,0.167,0
-0.32709,1,0.168,0.5,0.168,0
-0.32572,1,0.169,0.5,0.169,0
-0.32434,1,0.17,0.5,0.17,0
-0.32297,1,0.171,0.5,0.171,0
-0.32159,1,0.172,0.5,0.172,0
-0.32022,1,0.173,0.5,0.173,0
-0.31884,1,0.174,0.5,0.174,0
-0.31747,1,0.175,0.5,0.175,0
-0.31609,1,0.176,0.5,0.176,0
-0.31472,1,0.177,0.5,0.177,0
-0.31335,1,0.178,0.5,0.178,0
-0.31197,1,0.179,0.5,0.179,0
-0.3106,1,0.18,0.5,0.18,0
-0.30922,1,0.181,0.5,0.181,0
-0.30785,1,0.182,0.5,0.182,0
-0.30647,1,0.183,0.5,0.183,0
-0.3051,1,0.184,0.5,0.184,0
-0.30372,1,0.185,0.5,0.185,0
-0.30235,1,0.186,0.5,0.186,0
-0.30097,1,0.187,0.5,0.187,0
-0.29997,1,0.188,0.5,0.188,0
-0.29934,1,0.189,0.5,0.189,0
-0.29871,1,0.19,0.5,0.19,0
-0.29809,1,0.191,0.5,0.191,0
-0.29746,1,0.192,0.5,0.192,0
-0.29683,1,0.193,0.5,0.193,0
-0.2962,1,0.194,0.5,0.194,0
-0.29558,1,0.195,0.5,0.195,0
-0.29495,1,0.196,0.5,0.196,0
-0.29432,1,0.197,0.5,0.197,0
-0.29369,1,0.198,0.5,0.198,0
-0.29307,1,0.199,0.5,0.199,0
-0.29244,1,0.2,0.5,0.2,0
-0.29181,1,0.201,0.5,0.201,0
-0.29118,1,0.202,0.5,0.202,0
-0.29055,1,0.203,0.5,0.203,0
-0.28993,1,0.204,0.5,0.204,0
-0.2893,1,0.205,0.5,0.205,0
-0.28867,1,0.206,0.5,0.206,0
-0.28804,1,0.207,0.5,0.207,0
-0.28742,1,0.208,0.5,0.208,0
-0.28679,1,0.209,0.5,0.209,0
-0.28616,1,0.21,0.5,0.21,0
-0.28553,1,0.211,0.5,0.211,0
-0.28491,1,0.212,0.5,0.212,0
-0.28428,1,0.213,0.5,0.213,0
-0.28365,1,0.214,0.5,0.214,0
-0.28302,1,0.215,0.5,0.215,0
-0.2824,1,0.216,0.5,0.216,0
-0.28177,1,0.217,0.5,0.217,0
-0.28114,1,0.218,0.5,0.218,0
-0.28051,1,0.219,0.5,0.219,0
-0.27988,1,0.22,0.5,0.22,0
-0.27926,1,0.221,0.5,0.221,0
-0.27863,1,0.222,0.5,0.222,0
-0.278,1,0.223,0.5,0.223,0
-0.27737,1,0.224,0.5,0.224,0
-0.27675,1,0.225,0.5,0.225,0
-0.27612,1,0.226,0.5,0.226,0
-0.27549,1,0.227,0.5,0.227,0
-0.27486,1,0.228,0.5,0.228,0
-0.27424,1,0.229,0.5,0.229,0
-0.27361,1,0.23,0.5,0.23,0
-0.27298,1,0.231,0.5,0.231,0
-0.27235,1,0.232,0.5,0.232,0
-0.27172,1,0.233,0.5,0.233,0
-0.2711,1,0.234,0.5,0.234,0
-0.27047,1,0.235,0.5,0.235,0
-0.26984,1,0.236,0.5,0.236,0
-0.26921,1,0.237,0.5,0.237,0
-0.26859,1,0.238,0.5,0.238,0
-0.26796,1,0.239,0.5,0.239,0
-0.26733,1,0.24,0.5,0.24,0
-0.2667,1,0.241,0.5,0.241,0
-0.26608,1,0.242,0.5,0.242,0
-0.26545,1,0.243,0.5,0.243,0
-0.26482,1,0.244,0.5,0.244,0
-0.26419,1,0.245,0.5,0.245,0
-0.26356,1,0.246,0.5,0.246,0
-0.26294,1,0.247,0.5,0.247,0
-0.26231,1,0.248,0.5,0.248,0
-0.26168,1,0.249,0.5,0.249,0
-0.26105,1,0.25,0.5,0.25,0
-0.26056,1,0.251,0.5,0.251,0
-0.26006,1,0.252,0.5,0.252,0
-0.25956,1,0.253,0.5,0.253,0
-0.25906,1,0.254,0.5,0.254,0
-0.25856,1,0.255,0.5,0.255,0
-0.25806,1,0.256,0.5,0.256,0
-0.25756,1,0.257,0.5,0.257,0
-0.25707,1,0.258,0.5,0.258,0
-0.25657,1,0.259,0.5,0.259,0
-0.25607,1,0.26,0.5,0.26,0
-0.25557,1,0.261,0.5,0.261,0
-0.25507,1,0.262,0.5,0.262,0
-0.25457,1,0.263,0.5,0.263,0
-0.25408,1,0.264,0.5,0.264,0
-0.25358,1,0.265,0.5,0.265,0
-0.25308,1,0.266,0.5,0.266,0
-0.25258,1,0.267,0.5,0.267,0
-0.25208,1,0.268,0.5,0.268,0
-0.25158,1,0.269,0.5,0.269,0
-0.25108,1,0.27,0.5,0.27,0
-0.25059,1,0.271,0.5,0.271,0
-0.25009,1,0.272,0.5,0.272,0
-0.24959,1,0.273,0.5,0.273,0
-0.24909,1,0.274,0.5,0.274,0
-0.24859,1,0.275,0.5,0.275,0
-0.24809,1,0.276,0.5,0.276,0
-0.2476,1,0.277,0.5,0.277,0
-0.2471,1,0.278,0.5,0.278,0
-0.2466,1,0.279,0.5,0.279,0
-0.2461,1,0.28,0.5,0.28,0
-0.2456,1,0.281,0.5,0.281,0
-0.2451,1,0.282,0.5,0.282,0
-0.24461,1,0.283,0.5,0.283,0
-0.24411,1,0.284,0.5,0.284,0
-0.24361,1,0.285,0.5,0.285,0
-0.24311,1,0.286,0.5,0.286,0
-0.24261,1,0.287,0.5,0.287,0
-0.24211,1,0.288,0.5,0.288,0
-0.24161,1,0.289,0.5,0.289,0
-0.24112,1,0.29,0.5,0.29,0
-0.24062,1,0.291,0.5,0.291,0
-0.24012,1,0.292,0.5,0.292,0
-0.23962,1,0.293,0.5,0.293,0
-0.23912,1,0.294,0.5,0.294,0
-0.23862,1,0.295,0.5,0.295,0
-0.23813,1,0.296,0.5,0.296,0
-0.23763,1,0.297,0.5,0.297,0
-0.23713,1,0.298,0.5,0.298,0
-0.23663,1,0.299,0.5,0.299,0
-0.23613,1,0.3,0.5,0.3,0
-0.23563,1,0.301,0.5,0.301,0
-0.23513,1,0.302,0.5,0.302,0
-0.23464,1,0.303,0.5,0.303,0
-0.23414,1,0.304,0.5,0.304,0
-0.23364,1,0.305,0.5,0.305,0
-0.23314,1,0.306,0.5,0.306,0
-0.23264,1,0.307,0.5,0.307,0
-0.23214,1,0.308,0.5,0.308,0
-0.23165,1,0.309,0.5,0.309,0
-0.23115,1,0.31,0.5,0.31,0
-0.23065,1,0.311,0.5,0.311,0
-0.23015,1,0.312,0.5,0.312,0
-0.22933,1,0.313,0.5,0.313,0
-0.2282,1,0.314,0.5,0.314,0
-0.22706,1,0.315,0.5,0.315,0
-0.22592,1,0.316,0.5,0.316,0
-0.22478,1,0.317,0.5,0.317,0
-0.22365,1,0.318,0.5,0.318,0
-0.22251,1,0.319,0.5,0.319,0
-0.22137,1,0.32,0.5,0.32,0
-0.22023,1,0.321,0.5,0.321,0
-0.2191,1,0.322,0.5,0.322,0
-0.21796,1,0.323,0.5,0.323,0
-0.21682,1,0.324,0.5,0.324,0
-0.21568,1,0.325,0.5,0.325,0
-0.21455,1,0.326,0.5,0.326,0
-0.21341,1,0.327,0.5,0.327,0
-0.21227,1,0.328,0.5,0.328,0
-0.21114,1,0.329,0.5,0.329,0
-0.21,1,0.33,0.5,0.33,0
-0.20886,1,0.331,0.5,0.331,0
-0.20772,1,0.332,0.5,0.332,0
-0.20659,1,0.333,0.5,0.333,0
-0.20545,1,0.334,0.5,0.334,0
-0.20431,1,0.335,0.5,0.335,0
-0.20317,1,0.336,0.5,0.336,0
-0.20204,1,0.337,0.5,0.337,0
-0.2009,1,0.338,0.5,0.338,0
-0.19976,1,0.339,0.5,0.339,0
-0.19863,1,0.34,0.5,0.34,0
-0.19749,1,0.341,0.5,0.341,0
-0.19635,1,0.342,0.5,0.342,0
-0.19521,1,0.343,0.5,0.343,0
-0.19408,1,0.344,0.5,0.344,0
-0.19294,1,0.345,0.5,0.345,0
-0.1918,1,0.346,0.5,0.346,0
-0.19066,1,0.347,0.5,0.347,0
-0.18953,1,0.348,0.5,0.348,0
-0.18839,1,0.349,0.5,0.349,0
-0.18725,1,0.35,0.5,0.35,0
-0.18612,1,0.351,0.5,0.351,0
-0.18498,1,0.352,0.5,0.352,0
-0.18384,1,0.353,0.5,0.353,0
