"v_sol","Points:0","Points:1","Points:2"
-1.1499e-06,0,0,0
-4.2289e-06,0.0078125,0,0
-2.9462e-06,0.015625,0,0
2.0257e-06,0.023438,0,0
9.1225e-06,0.03125,0,0
1.7026e-05,0.039062,0,0
2.4751e-05,0.046875,0,0
3.1494e-05,0.054688,0,0
3.6639e-05,0.0625,0,0
3.9804e-05,0.070312,0,0
4.0872e-05,0.078125,0,0
3.9993e-05,0.085938,0,0
3.7534e-05,0.09375,0,0
3.4009e-05,0.10156,0,0
2.9988e-05,0.10938,0,0
2.6016e-05,0.11719,0,0
2.2551e-05,0.125,0,0
1.9928e-05,0.13281,0,0
1.8346e-05,0.14062,0,0
1.7874e-05,0.14844,0,0
1.8467e-05,0.15625,0,0
1.9987e-05,0.16406,0,0
2.222e-05,0.17188,0,0
2.4894e-05,0.17969,0,0
2.7704e-05,0.1875,0,0
3.0328e-05,0.19531,0,0
3.2457e-05,0.20312,0,0
3.384e-05,0.21094,0,0
3.4315e-05,0.21875,0,0
3.376e-05,0.22656,0,0
3.1937e-05,0.23438,0,0
2.8779e-05,0.24219,0,0
2.4277e-05,0.25,0,0
1.8169e-05,0.25781,0,0
9.4919e-06,0.26562,0,0
-2.9789e-06,0.27344,0,0
-2.0079e-05,0.28125,0,0
-4.0857e-05,0.28906,0,0
-6.661e-05,0.29688,0,0
-9.5399e-05,0.30469,0,0
-0.00013541,0.3125,0,0
-0.00018314,0.32031,0,0
-0.00023946,0.32812,0,0
-0.00030507,0.33594,0,0
-0.00037399,0.34375,0,0
-0.00044699,0.35156,0,0
-0.00052612,0.35938,0,0
-0.00060652,0.36719,0,0
-0.00068598,0.375,0,0
-0.0007609,0.38281,0,0
-0.00082761,0.39062,0,0
-0.00088236,0.39844,0,0
-0.00092192,0.40625,0,0
-0.00094387,0.41406,0,0
-0.00094676,0.42188,0,0
-0.00093007,0.42969,0,0
-0.0008941,0.4375,0,0
-0.00083977,0.44531,0,0
-0.00076836,0.45312,0,0
-0.0006814,0.46094,0,0
-0.00058047,0.46875,0,0
-0.00046715,0.47656,0,0
-0.00034303,0.48438,0,0
-0.00021,0.49219,0,0
-7.0534e-05,0.5,0,0
8.3473e-05,0.50781,0,0
0.00024101,0.51562,0,0
0.0003941,0.52344,0,0
0.00054863,0.53125,0,0
0.00069839,0.53906,0,0
0.00084291,0.54688,0,0
0.00097826,0.55469,0,0
0.0011023,0.5625,0,0
0.0012118,0.57031,0,0
0.0013042,0.57812,0,0
0.0013768,0.58594,0,0
0.0014273,0.59375,0,0
0.0014537,0.60156,0,0
0.0014542,0.60938,0,0
0.0014277,0.61719,0,0
0.0013741,0.625,0,0
0.0012935,0.63281,0,0
0.0011875,0.64062,0,0
0.0010587,0.64844,0,0
0.00091093,0.65625,0,0
0.00074915,0.66406,0,0
0.0005793,0.67188,0,0
0.00040671,0.67969,0,0
0.00023865,0.6875,0,0
7.4935e-05,0.69531,0,0
-8.6388e-05,0.70312,0,0
-0.00021198,0.71094,0,0
-0.00032161,0.71875,0,0
-0.00042718,0.72656,0,0
-0.0005207,0.73438,0,0
-0.00060138,0.74219,0,0
-0.00066799,0.75,0,0
-0.00071626,0.75781,0,0
-0.0007405,0.76562,0,0
-0.00073544,0.77344,0,0
-0.00069916,0.78125,0,0
-0.00063464,0.78906,0,0
-0.00054985,0.79688,0,0
-0.00045536,0.80469,0,0
-0.00036143,0.8125,0,0
-0.00027593,0.82031,0,0
-0.00020282,0.82812,0,0
-0.00014381,0.83594,0,0
-9.8528e-05,0.84375,0,0
-6.5374e-05,0.85156,0,0
-4.1649e-05,0.85938,0,0
-2.5222e-05,0.86719,0,0
-1.4265e-05,0.875,0,0
-7.1109e-06,0.88281,0,0
-2.4351e-06,0.89062,0,0
8.2769e-07,0.89844,0,0
3.4562e-06,0.90625,0,0
5.9733e-06,0.91406,0,0
8.6512e-06,0.92188,0,0
1.1541e-05,0.92969,0,0
1.4502e-05,0.9375,0,0
1.7236e-05,0.94531,0,0
1.9326e-05,0.95312,0,0
2.0282e-05,0.96094,0,0
1.9591e-05,0.96875,0,0
1.6796e-05,0.97656,0,0
1.1617e-05,0.98438,0,0
5.0531e-06,0.99219,0,0
-4.7119e-08,1,0,0
1.9166e-06,0,0.0078125,0
2.6589e-05,0.0078125,0.0078125,0
2.0972e-05,0.015625,0.0078125,0
-6.1563e-06,0.023438,0.0078125,0
-4.3999e-05,0.03125,0.0078125,0
-8.5913e-05,0.039062,0.0078125,0
-0.00012683,0.046875,0.0078125,0
-0.00016256,0.054688,0.0078125,0
-0.0001898,0.0625,0.0078125,0
-0.00020647,0.070312,0.0078125,0
-0.00021195,0.078125,0.0078125,0
-0.00020704,0.085938,0.0078125,0
-0.00019375,0.09375,0.0078125,0
-0.00017488,0.10156,0.0078125,0
-0.00015352,0.10938,0.0078125,0
-0.00013256,0.11719,0.0078125,0
-0.00011446,0.125,0.0078125,0
-0.00010095,0.13281,0.0078125,0
-9.3047e-05,0.14062,0.0078125,0
-9.1087e-05,0.14844,0.0078125,0
-9.4816e-05,0.15625,0.0078125,0
-0.0001035,0.16406,0.0078125,0
-0.00011604,0.17188,0.0078125,0
-0.00013101,0.17969,0.0078125,0
-0.00014684,0.1875,0.0078125,0
-0.00016187,0.19531,0.0078125,0
-0.00017454,0.20312,0.0078125,0
-0.00018357,0.21094,0.0078125,0
-0.00018813,0.21875,0.0078125,0
-0.00018772,0.22656,0.0078125,0
-0.00018174,0.23438,0.0078125,0
-0.00016985,0.24219,0.0078125,0
-0.00015137,0.25,0.0078125,0
-0.00012489,0.25781,0.0078125,0
-8.7052e-05,0.26562,0.0078125,0
-3.2636e-05,0.27344,0.0078125,0
4.2712e-05,0.28125,0.0078125,0
0.00013843,0.28906,0.0078125,0
0.0002572,0.29688,0.0078125,0
0.00040054,0.30469,0.0078125,0
0.00058742,0.3125,0.0078125,0
