"v_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.07465,1,0,0,0.5,0
0.082598,1,0.001,0.001,0.5,0
0.090546,1,0.002,0.002,0.5,0
0.098495,1,0.003,0.003,0.5,0
0.10644,1,0.004,0.004,0.5,0
0.11439,1,0.005,0.005,0.5,0
0.12234,1,0.006,0.006,0.5,0
0.13029,1,0.007,0.007,0.5,0
0.13824,1,0.008,0.008,0.5,0
0.14618,1,0.009,0.009,0.5,0
0.15413,1,0.01,0.01,0.5,0
0.16208,1,0.011,0.011,0.5,0
0.17003,1,0.012,0.012,0.5,0
0.17798,1,0.013,0.013,0.5,0
0.18593,1,0.014,0.014,0.5,0
0.19387,1,0.015,0.015,0.5,0
0.20182,1,0.016,0.016,0.5,0
0.20977,1,0.017,0.017,0.5,0
0.21772,1,0.018,0.018,0.5,0
0.22567,1,0.019,0.019,0.5,0
0.23362,1,0.02,0.02,0.5,0
0.24156,1,0.021,0.021,0.5,0
0.24951,1,0.022,0.022,0.5,0
0.25746,1,0.023,0.023,0.5,0
0.26541,1,0.024,0.024,0.5,0
0.27336,1,0.025,0.025,0.5,0
0.28131,1,0.026,0.026,0.5,0
0.28926,1,0.027,0.027,0.5,0
0.2972,1,0.028,0.028,0.5,0
0.30515,1,0.029,0.029,0.5,0
0.3131,1,0.03,0.03,0.5,0
0.32105,1,0.031,0.031,0.5,0
0.3249,1,0.032,0.032,0.5,0
0.32739,1,0.033,0.033,0.5,0
0.32988,1,0.034,0.034,0.5,0
0.33237,1,0.035,0.035,0.5,0
0.33486,1,0.036,0.036,0.5,0
0.33735,1,0.037,0.037,0.5,0
0.33984,1,0.038,0.038,0.5,0
0.34233,1,0.039,0.039,0.5,0
0.34482,1,0.04,0.04,0.5,0
0.34731,1,0.041,0.041,0.5,0
0.3498,1,0.042,0.042,0.5,0
0.35228,1,0.043,0.043,0.5,0
0.35477,1,0.044,0.044,0.5,0
0.35726,1,0.045,0.045,0.5,0
0.35975,1,0.046,0.046,0.5,0
0.36224,1,0.047,0.047,0.5,0
0.36473,1,0.048,0.048,0.5,0
0.36722,1,0.049,0.049,0.5,0
