"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.024163,1,0,0.5,0,0
-0.030176,1,0.001,0.5,0.001,0
-0.036188,1,0.002,0.5,0.002,0
-0.0422,1,0.003,0.5,0.003,0
-0.048213,1,0.004,0.5,0.004,0
-0.054225,1,0.005,0.5,0.005,0
-0.060238,1,0.006,0.5,0.006,0
-0.06625,1,0.007,0.5,0.007,0
-0.072263,1,0.008,0.5,0.008,0
-0.078275,1,0.009,0.5,0.009,0
-0.084287,1,0.01,0.5,0.01,0
-0.0903,1,0.011,0.5,0.011,0
-0.096312,1,0.012,0.5,0.012,0
-0.10232,1,0.013,0.5,0.013,0
-0.10834,1,0.014,0.5,0.014,0
-0.11435,1,0.015,0.5,0.015,0
-0.12036,1,0.016,0.5,0.016,0
-0.12637,1,0.017,0.5,0.017,0
-0.13239,1,0.018,0.5,0.018,0
-0.1384,1,0.019,0.5,0.019,0
-0.14441,1,0.02,0.5,0.02,0
-0.15042,1,0.021,0.5,0.021,0
-0.15644,1,0.022,0.5,0.022,0
-0.16245,1,0.023,0.5,0.023,0
-0.16846,1,0.024,0.5,0.024,0
-0.17447,1,0.025,0.5,0.025,0
-0.18049,1,0.026,0.5,0.026,0
-0.1865,1,0.027,0.5,0.027,0
-0.19251,1,0.028,0.5,0.028,0
-0.19852,1,0.029,0.5,0.029,0
-0.20454,1,0.03,0.5,0.03,0
-0.21055,1,0.031,0.5,0.031,0
-0.21549,1,0.032,0.5,0.032,0
-0.22008,1,0.033,0.5,0.033,0
-0.22466,1,0.034,0.5,0.034,0
-0.22925,1,0.035,0.5,0.035,0
-0.23383,1,0.036,0.5,0.036,0
-0.23842,1,0.037,0.5,0.037,0
-0.243,1,0.038,0.5,0.038,0
-0.24759,1,0.039,0.5,0.039,0
-0.25217,1,0.04,0.5,0.04,0
-0.25676,1,0.041,0.5,0.041,0
-0.26134,1,0.042,0.5,0.042,0
-0.26593,1,0.043,0.5,0.043,0
-0.27051,1,0.044,0.5,0.044,0
-0.2751,1,0.045,0.5,0.045,0
-0.27968,1,0.046,0.5,0.046,0
-0.28427,1,0.047,0.5,0.047,0
-0.28885,1,0.048,0.5,0.048,0
-0.29344,1,0.049,0.5,0.049,0
-0.29802,1,0.05,0.5,0.05,0
-0.30261,1,0.051,0.5,0.051,0
-0.30719,1,0.052,0.5,0.052,0
-0.31178,1,0.053,0.5,0.053,0
-0.31636,1,0.054,0.5,0.054,0
-0.32095,1,0.055,0.5,0.055,0
-0.32553,1,0.056,0.5,0.056,0
-0.33012,1,0.057,0.5,0.057,0
-0.3347,1,0.058,0.5,0.058,0
-0.33929,1,0.059,0.5,0.059,0
-0.34387,1,0.06,0.5,0.06,0
-0.34846,1,0.061,0.5,0.061,0
-0.35304,1,0.062,0.5,0.062,0
-0.35642,1,0.063,0.5,0.063,0
-0.35859,1,0.064,0.5,0.064,0
-0.36077,1,0.065,0.5,0.065,0
-0.36294,1,0.066,0.5,0.066,0
-0.36511,1,0.067,0.5,0.067,0
-0.36728,1,0.068,0.5,0.068,0
-0.36946,1,0.069,0.5,0.069,0
-0.37163,1,0.07,0.5,0.07,0
-0.3738,1,0.071,0.5,0.071,0
-0.37598,1,0.072,0.5,0.072,0
-0.37815,1,0.073,0.5,0.073,0
-0.38032,1,0.074,0.5,0.074,0
-0.38249,1,0.075,0.5,0.075,0
-0.38467,1,0.076,0.5,0.076,0
-0.38684,1,0.077,0.5,0.077,0
-0.38901,1,0.078,0.5,0.078,0
-0.39119,1,0.079,0.5,0.079,0
