"u_sol","Points:0","Points:1","Points:2"
-0.0010272,0,0,0
0.0016815,0.0625,0,0
-0.000947,0.125,0,0
0.0029538,0.1875,0,0
0.033399,0.25,0,0
0.052002,0.3125,0,0
0.031623,0.375,0,0
-0.0080799,0.4375,0,0
-0.022374,0.5,0,0
0.0074754,0.5625,0,0
0.063676,0.625,0,0
0.093396,0.6875,0,0
0.057535,0.75,0,0
0.014634,0.8125,0,0
0.002683,0.875,0,0
-0.00083008,0.9375,0,0
4.1893e-06,1,0,0
-0.0007301,0,0.0625,0
0.0077158,0.0625,0.0625,0
0.021026,0.125,0.0625,0
0.018227,0.1875,0.0625,0
-0.05666,0.25,0.0625,0
-0.18526,0.3125,0.0625,0
-0.29616,0.375,0.0625,0
-0.35338,0.4375,0.0625,0
-0.36054,0.5,0.0625,0
-0.32,0.5625,0.0625,0
-0.22852,0.625,0.0625,0
-0.096298,0.6875,0.0625,0
0.023327,0.75,0.0625,0
0.049506,0.8125,0.0625,0
0.020912,0.875,0.0625,0
0.0059938,0.9375,0.0625,0
-0.00095681,1,0.0625,0
-0.0024724,0,0.125,0
0.016677,0.0625,0.125,0
-0.0088162,0.125,0.125,0
-0.1315,0.1875,0.125,0
-0.29194,0.25,0.125,0
-0.39768,0.3125,0.125,0
-0.44258,0.375,0.125,0
-0.4589,0.4375,0.125,0
-0.46427,0.5,0.125,0
-0.46571,0.5625,0.125,0
-0.45228,0.625,0.125,0
-0.38336,0.6875,0.125,0
-0.22597,0.75,0.125,0
-0.04,0.8125,0.125,0
0.025005,0.875,0.125,0
0.0056592,0.9375,0.125,0
-0.00029274,1,0.125,0
0.0056909,0,0.1875,0
-0.0091723,0.0625,0.1875,0
-0.12365,0.125,0.1875,0
-0.27786,0.1875,0.1875,0
-0.36398,0.25,0.1875,0
-0.37761,0.3125,0.1875,0
-0.36835,0.375,0.1875,0
-0.36062,0.4375,0.1875,0
-0.36001,0.5,0.1875,0
-0.36694,0.5625,0.1875,0
-0.38707,0.625,0.1875,0
-0.41808,0.6875,0.1875,0
-0.39463,0.75,0.1875,0
-0.23828,0.8125,0.1875,0
-0.027354,0.875,0.1875,0
0.016709,0.9375,0.1875,0
-0.0070034,1,0.1875,0
0.011128,0,0.25,0
-0.066117,0.0625,0.25,0
-0.20304,0.125,0.25,0
-0.291,0.1875,0.25,0
-0.29836,0.25,0.25,0
-0.28419,0.3125,0.25,0
-0.28597,0.375,0.25,0
-0.29657,0.4375,0.25,0
-0.30423,0.5,0.25,0
-0.30512,0.5625,0.25,0
-0.29796,0.625,0.25,0
-0.30167,0.6875,0.25,0
-0.34565,0.75,0.25,0
-0.34696,0.8125,0.25,0
-0.17705,0.875,0.25,0
0.011751,0.9375,0.25,0
0.00047504,1,0.25,0
0.0093144,0,0.3125,0
-0.093933,0.0625,0.3125,0
-0.19626,0.125,0.3125,0
-0.22377,0.1875,0.3125,0
-0.21283,0.25,0.3125,0
-0.21921,0.3125,0.3125,0
-0.23562,0.375,0.3125,0
-0.24316,0.4375,0.3125,0
-0.24754,0.5,0.3125,0
-0.25548,0.5625,0.3125,0
-0.26572,0.625,0.3125,0
-0.25437,0.6875,0.3125,0
-0.2369,0.75,0.3125,0
-0.27887,0.8125,0.3125,0
-0.26037,0.875,0.3125,0
-0.057105,0.9375,0.3125,0
0.030644,1,0.3125,0
0.0073434,0,0.375,0
-0.079973,0.0625,0.375,0
-0.14091,0.125,0.375,0
-0.14593,0.1875,0.375,0
-0.14804,0.25,0.375,0
-0.16356,0.3125,0.375,0
-0.1705,0.375,0.375,0
-0.17283,0.4375,0.375,0
-0.17872,0.5,0.375,0
-0.1796,0.5625,0.375,0
-0.1834,0.625,0.375,0
-0.20643,0.6875,0.375,0
-0.20168,0.75,0.375,0
-0.1836,0.8125,0.375,0
-0.22472,0.875,0.375,0
-0.11585,0.9375,0.375,0
0.043487,1,0.375,0
0.0065405,0,0.4375,0
-0.042022,0.0625,0.4375,0
-0.07355,0.125,0.4375,0
-0.078344,0.1875,0.4375,0
-0.087267,0.25,0.4375,0
-0.096925,0.3125,0.4375,0
-0.10082,0.375,0.4375,0
-0.10803,0.4375,0.4375,0
-0.1171,0.5,0.4375,0
-0.12872,0.5625,0.4375,0
-0.12725,0.625,0.4375,0
-0.12161,0.6875,0.4375,0
-0.14756,0.75,0.4375,0
-0.13643,0.8125,0.4375,0
-0.14777,0.875,0.4375,0
-0.13739,0.9375,0.4375,0
0.012966,1,0.4375,0
0.0076211,0,0.5,0
0.0011146,0.0625,0.5,0
-0.011911,0.125,0.5,0
-0.01747,0.1875,0.5,0
-0.024473,0.25,0.5,0
-0.030208,0.3125,0.5,0
-0.033973,0.375,0.5,0
-0.042394,0.4375,0.5,0
-0.045315,0.5,0.5,0
-0.045763,0.5625,0.5,0
-0.069259,0.625,0.5,0
-0.069079,0.6875,0.5,0
-0.076132,0.75,0.5,0
-0.092323,0.8125,0.5,0
-0.086653,0.875,0.5,0
-0.11349,0.9375,0.5,0
-0.01169,1,0.5,0
0.0027158,0,0.5625,0
0.043836,0.0625,0.5625,0
0.048113,0.125,0.5625,0
0.042859,0.1875,0.5625,0
0.037205,0.25,0.5625,0
0.037775,0.3125,0.5625,0
0.031153,0.375,0.5625,0
0.031449,0.4375,0.5625,0
0.022676,0.5,0.5625,0
0.015588,0.5625,0.5625,0
0.0099167,0.625,0.5625,0
-0.008326,0.6875,0.5625,0
-0.014562,0.75,0.5625,0
-0.042054,0.8125,0.5625,0
-0.037828,0.875,0.5625,0
-0.068306,0.9375,0.5625,0
-0.012358,1,0.5625,0
-0.0039565,0,0.625,0
0.077963,0.0625,0.625,0
0.10632,0.125,0.625,0
0.10438,0.1875,0.625,0
0.10127,0.25,0.625,0
0.10467,0.3125,0.625,0
0.10582,0.375,0.625,0
0.099558,0.4375,0.625,0
0.099317,0.5,0.625,0
0.085264,0.5625,0.625,0
0.072812,0.625,0.625,0
0.062844,0.6875,0.625,0
0.0432,0.75,0.625,0
0.012872,0.8125,0.625,0
0.0047809,0.875,0.625,0
-0.032437,0.9375,0.625,0
-0.018116,1,0.625,0
-0.018378,0,0.6875,0
0.084574,0.0625,0.6875,0
0.16154,0.125,0.6875,0
0.16049,0.1875,0.6875,0
0.1566,0.25,0.6875,0
0.16041,0.3125,0.6875,0
0.16712,0.375,0.6875,0
0.16937,0.4375,0.6875,0
0.16368,0.5,0.6875,0
0.1594,0.5625,0.6875,0
0.15675,0.625,0.6875,0
0.133,0.6875,0.6875,0
0.09449,0.75,0.6875,0
0.071307,0.8125,0.6875,0
0.047766,0.875,0.6875,0
-0.0064458,0.9375,0.6875,0
-0.022902,1,0.6875,0
-0.020225,0,0.75,0
0.071158,0.0625,0.75,0
0.20515,0.125,0.75,0
0.23909,0.1875,0.75,0
0.23396,0.25,0.75,0
0.2383,0.3125,0.75,0
0.24899,0.375,0.75,0
0.25735,0.4375,0.75,0
0.25977,0.5,0.75,0
0.25127,0.5625,0.75,0
0.22601,0.625,0.75,0
0.18687,0.6875,0.75,0
0.15774,0.75,0.75,0
0.14254,0.8125,0.75,0
0.095229,0.875,0.75,0
0.0098983,0.9375,0.75,0
-0.02262,1,0.75,0
-0.016917,0,0.8125,0
-0.011747,0.0625,0.8125,0
0.14564,0.125,0.8125,0
0.2519,0.1875,0.8125,0
0.27002,0.25,0.8125,0
0.26965,0.3125,0.8125,0
0.2789,0.375,0.8125,0
0.29088,0.4375,0.8125,0
0.29627,0.5,0.8125,0
0.29242,0.5625,0.8125,0
0.28199,0.625,0.8125,0
0.26891,0.6875,0.8125,0
0.26012,0.75,0.8125,0
0.22243,0.8125,0.8125,0
0.12908,0.875,0.8125,0
0.016437,0.9375,0.8125,0
-0.024498,1,0.8125,0
0.030218,0,0.875,0
0.11596,0.0625,0.875,0
0.13424,0.125,0.875,0
0.26766,0.1875,0.875,0
0.36865,0.25,0.875,0
0.41424,0.3125,0.875,0
0.43598,0.375,0.875,0
0.4502,0.4375,0.875,0
0.45782,0.5,0.875,0
0.45648,0.5625,0.875,0
0.44519,0.625,0.875,0
0.42015,0.6875,0.875,0
0.36746,0.75,0.875,0
0.26457,0.8125,0.875,0
0.13848,0.875,0.875,0
0.028573,0.9375,0.875,0
-0.024046,1,0.875,0
-0.023667,0,0.9375,0
-0.21015,0.0625,0.9375,0
-0.19647,0.125,0.9375,0
-0.075249,0.1875,0.9375,0
0.11323,0.25,0.9375,0
0.26887,0.3125,0.9375,0
0.36756,0.375,0.9375,0
0.42135,0.4375,0.9375,0
0.44624,0.5,0.9375,0
0.4459,0.5625,0.9375,0
0.42524,0.625,0.9375,0
0.37435,0.6875,0.9375,0
0.30398,0.75,0.9375,0
0.21632,0.8125,0.9375,0
0.13848,0.875,0.9375,0
0.059463,0.9375,0.9375,0
-0.033467,1,0.9375,0
0.012575,0,1,0
0.18656,0.0625,1,0
0.2661,0.125,1,0
0.3101,0.1875,1,0
0.37185,0.25,1,0
0.46947,0.3125,1,0
0.56527,0.375,1,0
0.6395,0.4375,1,0
0.68629,0.5,1,0
0.71455,0.5625,1,0
0.72341,0.625,1,0
0.73283,0.6875,1,0
0.72799,0.75,1,0
0.74331,0.8125,1,0
0.72135,0.875,1,0
0.75391,0.9375,1,0
0.18075,1,1,0
